provincia_id,provincia,ugl_id,ugl,tipo,agencia_id,agencia,localidad,direccion,cp,telefono,fax,pami_escucha,actividades,prestaciones_medicas,responsable,lat,lon
1,CIUDAD AUTONOMA BS.AS.,6,VI-CAP. FEDERAL,agencia,151,AG. 10 (CAPITAL),CAPITAL FEDERAL,MORENO 1202,1312,4382-5533,,,"Gimnasia, yoga / otras técnicas orientales, caminatas, danzas, deportes, actividad acuática, reflexión, alimentación saludable, artesanías / manualidades, festejos locales, artes plasticas, técnicas de trabajo corporal, canto / coro, juegos, juegos de mesa, teatro, huertas, granja y jardinerías y controles médicos en salud.",,,-34.612019,-58.383497
1,CIUDAD AUTONOMA BS.AS.,6,VI-CAP. FEDERAL,agencia,694,BOCA DE ATENCION PARQUE PATRICIOS,CABA,AV. CASEROS 3401,1263,,,,,,,-34.638434,-58.413237
2,BUENOS AIRES,5,V-BAHIA BLANCA,ugl,0,,BAHIA BLANCA,SAN MARTIN 261,8000,CONMUTADOR: 0291 459-2900,0291-4532911,0291-4565150/1669 0291-4592978,,int. 132,DR. DAMIAN VANZINI,-38.7191614,-62.26201989999999
2,BUENOS AIRES,5,V-BAHIA BLANCA,agencia,111,AG. SAAVEDRA,SAAVEDRA,C. LOPEZ 316,8174,02923-497104,,,,,,-37.763183,-62.347291
2,BUENOS AIRES,5,V-BAHIA BLANCA,agencia,112,AG. VILLA MITRE,VILLA MITRE,CASEROS 1581,8001,0291-4818588,,,,,,-38.730502,-62.247101
2,BUENOS AIRES,5,V-BAHIA BLANCA,agencia,114,AG. CORONEL ROSALES,PUNTA ALTA,HUMBERTO PRIMO 202,8109,02932-424844,0293-2424844,,,,,-38.875399,-62.074091
2,BUENOS AIRES,5,V-BAHIA BLANCA,agencia,115,AG. TRES ARROYOS,TRES ARROYOS,ISTILART 86,7500,02983-430045,02983-430045,,,,,-38.378067,-60.272094
2,BUENOS AIRES,5,V-BAHIA BLANCA,agencia,116,AG. CORONEL PRINGLES,CORONEL PRINGLES,STEGMANN 557,7530,02922-462903,,,,,,-37.986769,-61.353462
2,BUENOS AIRES,5,V-BAHIA BLANCA,agencia,117,AG. CNEL DORREGO,CORONEL DORREGO,MACIEL 457,8150,0292-1452007,0292-1452007,,,,,-38.717662,-61.285357
2,BUENOS AIRES,5,V-BAHIA BLANCA,agencia,118,AG. TORNQUIST,TORNQUIST,RAWSON 240,8160,0291-4941301,0291-4941301,,,,,-38.097686,-62.22383
2,BUENOS AIRES,5,V-BAHIA BLANCA,agencia,119,AG. ORENSE,ORENSE,SARMIENTO 198,7503,0298-2420074,0298-2420101/2420074,,,,,-38.685309,-59.773965
2,BUENOS AIRES,5,V-BAHIA BLANCA,agencia,120,AG. CORONEL SUAREZ,CORONEL SUAREZ,BELGRANO 1029,7540,0292-6422072,0292-6422072,,,,,-37.454556,-61.930804
2,BUENOS AIRES,5,V-BAHIA BLANCA,agencia,121,AG. PELLEGRINI,PELLEGRINI,MARCONI 437,6346,02392-498357,02392-498357,,,,,-36.267321,-63.161652
2,BUENOS AIRES,5,V-BAHIA BLANCA,agencia,122,AG. TRES LOMAS,TRES LOMAS,SAN MARTIN 362,6409,0239-4420427,0239-4420427,,,,,-36.457326,-62.858634
2,BUENOS AIRES,5,V-BAHIA BLANCA,agencia,123,AG. MONTE HERMOSO,MONTE HERMOSO,"TRAFUL BIS, GALERIA FENIZI LOCAL 268",8153,02921-482258,02921-482258,,,,,-38.986367,-61.285046
2,BUENOS AIRES,5,V-BAHIA BLANCA,agencia,124,AG. CARMEN DE PATAGONES,CARMEN DE PATAGONES,7 DE MARZO 150,8504,0292-0461833,0292-0461833,,,,,-40.800589,-62.985545
2,BUENOS AIRES,5,V-BAHIA BLANCA,agencia,125,AG. MEDANOS,MEDANOS,BARTOLOME MITRE 400,8132,02927-432013 / 433151,0292-7432013,,,,,-38.827606,-62.693832
2,BUENOS AIRES,5,V-BAHIA BLANCA,agencia,126,AG. SALLIQUELO,SALLIQUELO,HUGO STROEDER OESTE 516,6339,02394-480266,02394-480266,,,,,-36.750129,-62.960165
2,BUENOS AIRES,5,V-BAHIA BLANCA,agencia,127,AG. GUAMINI,GUAMINI,AV. M. FREIRE 105,6435,0292-9432396,0292-9432396,,,,,-37.011703,-62.417071
2,BUENOS AIRES,5,V-BAHIA BLANCA,agencia,128,AG. CARHUE,CARHUE,LAPRIDA 960,6430,0293-6432692,,,,,,-37.176458,-62.755036
2,BUENOS AIRES,5,V-BAHIA BLANCA,agencia,129,AG. PIGUE,PIGUE,MONSEÑOR DURBAN 701,8170,0292-3472045,0292-3472045,,"Técnicas de Trabajo Corporal, Memoria, Alimentacion Saludable, Artesanías / Manualidades, Enfermedades Cardiovasculares, Prevención del Sedentarismo, Gimnasia, Controles Médicos en Salud",,,-37.602876,-62.40665
2,BUENOS AIRES,5,V-BAHIA BLANCA,agencia,130,AG. PUAN,PUAN,SAN MARTIN 498,8180,02923-498138 / 489575,,,,,,-37.543931,-62.76726
2,BUENOS AIRES,5,V-BAHIA BLANCA,agencia,131,AG. HUANGUELEN,HUANGUELEN,CALLE 12 558,7545,0293-3432479,0293-3432479,,,,,-37.062403,-61.932514
2,BUENOS AIRES,5,V-BAHIA BLANCA,agencia,132,AG. PEDRO LURO,PEDRO LURO,CALLE 24 NRO. 162,8148,0292-8420295,0292-8420295,,,,,-39.501127,-62.683361
2,BUENOS AIRES,5,V-BAHIA BLANCA,agencia,133,AG. DARREGUEIRA,DARREGUEIRA,ITALIA Y SAAVEDRA (CENTRO CIVICO),8183,0292-4420205,,,,,,-37.691326,-63.160365
2,BUENOS AIRES,5,V-BAHIA BLANCA,agencia,134,AG. CASBAS,CASBAS,SAN MARTIN 936,6436,02929-480034,,,,,,-36.756387,-62.502859
2,BUENOS AIRES,5,V-BAHIA BLANCA,agencia,136,AG. STROEDER,CARMEN DE PATAGONES,7 DE MARZO 411,8508,02920-491404,,,,,,-40.183791,-62.617443
2,BUENOS AIRES,5,V-BAHIA BLANCA,agencia,139,AG. DANIEL CERRI,DANIEL CERRI,J. M. GUTIERREZ 379,8105,0291-4846275,,,,,,-38.720575,-62.39237
2,BUENOS AIRES,5,V-BAHIA BLANCA,agencia,140,AG. INGENIERO WHITE,ING. WHITE,SICHES 3937,0,0291-457-1149,,,,,,-38.784314,-62.267314
2,BUENOS AIRES,7,VII-LA PLATA,ugl,0,,LA PLATA,AVENIDA 7 NRO. 170,1900,CONMUTADOR: 0221 439-1000,0221-4271503,0221-4276396,"Literatura, alimentación saludable, gimnasia, caminatas, actividad acuática, enfermedades endócrino metabólicas",0221-4248673,SRA. ARACELI MASTELLONE SANCHEZ,-34.90341069999999,-57.9650022
2,BUENOS AIRES,7,VII-LA PLATA,agencia,159,AG. LOBOS,LOBOS,BARTOLOME MITRE 368,7240,2227-422111,,,"Yoga otras técnicas orientales, gimnasia, alimentación saludable, caminatas",,,-35.188084,-59.092609
2,BUENOS AIRES,7,VII-LA PLATA,agencia,160,AG. CHASCOMUS,CHASCOMUS,BELGRANO 115,7130,02241-423143 / 431644,,,,,,-35.575189,-58.014833
2,BUENOS AIRES,7,VII-LA PLATA,agencia,161,AG. ALEJANDRO KORN,ALEJANDRO KORN,AV. PTE. PERON Y MITRE,1864,2225-421091,,,,,,-34.99737,-58.39254
2,BUENOS AIRES,7,VII-LA PLATA,agencia,162,AG. MONTE,SAN MIGUEL DEL MONTE,SANTOS MOLINAS 765,7220,02271-420704,,,,,,-35.436967,-58.806818
2,BUENOS AIRES,7,VII-LA PLATA,agencia,163,AG. GRAL. BELGRANO,GENERAL BELGRANO,RIVADAVIA 64,7223,02243-452860,,,,,,-35.766537,-58.496153
2,BUENOS AIRES,7,VII-LA PLATA,agencia,164,AG. CANUELAS,CANUELAS,BASAVILBASO 480,1814,02226-422930 / 431792,2226-422930,,,,,-35.056717,-58.759199
2,BUENOS AIRES,7,VII-LA PLATA,agencia,165,AG. RANCHOS,RANCHOS,HIPOLITO YRIGOYEN 3247,1987,02241-481027,,,,,,-35.51588,-58.315952
2,BUENOS AIRES,7,VII-LA PLATA,agencia,166,AG. CNEL. BRANDSEN,CNEL. BRANDSEN,ALBERTI 965,1980,02223-443607,,,"Alimentación saludable, enfermedades endócrino metabólicas",,,-35.169318,-58.234173
2,BUENOS AIRES,7,VII-LA PLATA,agencia,167,AG. ENSENADA,ENSENADA,FERELLA 593,1925,0221-4692816,,,"Alimentación saludable, música, enfermedades endócrino metabólicas",,,-34.861496,-57.910656
2,BUENOS AIRES,7,VII-LA PLATA,agencia,168,AG. BERISSO,BERISSO,CALLE 161 N° 606 PB ESQ.8,1923,0221-4640710,,,,,,-34.870317,-57.883877
2,BUENOS AIRES,7,VII-LA PLATA,agencia,169,AG. MAGDALENA,MAGDALENA,GOENAGA 882,1913,2221-452722,,,,,,-35.075913,-57.517641
2,BUENOS AIRES,7,VII-LA PLATA,agencia,170,AG. GUERNICA,GUERNICA,RTA. 210 E/ AVDA. EVA PERON Y CALLE 24,7220,02224-473190,,,,,,-34.917185,-58.384187
2,BUENOS AIRES,7,VII-LA PLATA,agencia,171,AG. CITY BELL,CITY BELL,CON. CENTENARIO 76 (ENTRE PELLEGRINI Y GUEMES),1896,0221-4720228,,,,,,-34.867597,-58.039218
2,BUENOS AIRES,7,VII-LA PLATA,agencia,172,AG. LOS HORNOS,LOS HORNOS,CALLE 66 NRO. 2340,1903,0221-4507258,,,,,,-34.958875,-57.970866
2,BUENOS AIRES,7,VII-LA PLATA,agencia,173,AG. MELCHOR ROMERO,MELCHOR ROMERO,CALLE 169 1376 E/518 Y 519 CENTRO COMUNAL,1903,0221-478-1600,,,,,,-34.946863,-58.048135
2,BUENOS AIRES,7,VII-LA PLATA,agencia,174,AG. VILLA ELISA,VILLA ELISA,AV. ARANA 574 E/CENTENARIO 7 LOC. 574,1894,02221-4730098,,,,,,-34.859623,-58.086483
2,BUENOS AIRES,7,VII-LA PLATA,agencia,175,AG. MANUEL J. COBO,MANUEL J. COBO,SAN MARTIN 280,7116,02242-432759,,,,,,-35.876394,-57.897699
2,BUENOS AIRES,7,VII-LA PLATA,agencia,176,AG. PILA,PILA,MAXIMA P.DE CASCO 240,7110,2242-498186,,,,,,-36.003875,-58.142831
2,BUENOS AIRES,7,VII-LA PLATA,agencia,177,AG. CASTELLI,CASTELLI,AV. 25 DE MAYO 308,7114,2245-480220,,,Actividad acuática,,,-36.1,-57.816667
2,BUENOS AIRES,7,VII-LA PLATA,agencia,178,AG. VERONICA,PUNTA INDIO,CALLE 30 1606,1917,2221-480270,,,,,,-35.390065,-57.33522
2,BUENOS AIRES,7,VII-LA PLATA,agencia,179,AG. VILLA ELVIRA (PUNTO DE ATENCION 2),BERISSO,AVENIDA 122 NRO 2431,1923,0221-453-0873,,,,,,-34.915668,-57.944541
2,BUENOS AIRES,8,VIII-SAN MARTIN,ugl,0,,SAN MARTIN,RICARDO BALBIN 1954,1650,CONMUTADOR: 011 4724-4700,4724-4746,,"Actividad acuática, yoga otras técnicas orientales, artesanías / manualidades, artes plásticas, gimnasia, danzas, computación, música, reflexión, arte culinario, festejos locales, memoria, paseos solidarios, encuentro recreativo, ropería, solidario",4724-4720 al 25,DR. ARMANDO DUNAIEWSKY,-34.6693725,-58.7438182
2,BUENOS AIRES,8,VIII-SAN MARTIN,agencia,182,AG. CASEROS,CASEROS,JUAN B. ALBERDI 4665,1678,4512-7420/1/2 4716-2520/08/02/0733,,,,,,-34.6034,-58.561295
2,BUENOS AIRES,8,VIII-SAN MARTIN,agencia,183,AG. VILLA BALLESTER,VILLA BALLESTER,PROF. FERNANDO AGUER 4977,1653,4512-5920 / 21,,,,,,-34.551034,-58.558184
2,BUENOS AIRES,8,VIII-SAN MARTIN,agencia,184,AG. ESCOBAR,ESCOBAR,SPADACCINI 1078,1625,0348-8420004,,,,,,-34.550963,-58.558227
2,BUENOS AIRES,8,VIII-SAN MARTIN,agencia,185,AG. SAN ISIDRO,SAN ISIDRO,9 DE JULIO 336,1642,4513-4688 / 80 AL 85,,,,,,-34.469592,-58.511342
2,BUENOS AIRES,8,VIII-SAN MARTIN,agencia,186,AG. CAMPANA,CAMPANA,MORENO 331,2804,03489-423861 / 423686,,,,,,-34.162919,-58.956674
2,BUENOS AIRES,8,VIII-SAN MARTIN,agencia,187,AG. MUNRO,MUNRO,BERNARDINO RIVADAVIA 2534,1605,4512-5931 / 4721-9619 / 18,,,,,,-34.528674,-58.521341
2,BUENOS AIRES,8,VIII-SAN MARTIN,agencia,188,AG. VICENTE LOPEZ,VICENTE LOPEZ,AV. MAIPU 2124,1638,4519-5452/53/54,,,Yoga otras técnicas orientales,,,-34.52812,-58.473816
2,BUENOS AIRES,8,VIII-SAN MARTIN,agencia,189,AG. SAN MIGUEL,SAN MIGUEL,MUÑOZ 1563,1663,4664-3004/06/4335/4641/1486/5679/3246,,,"Yoga otras técnicas orientales, artesanías / manualidades, artes plásticas, gimnasia",,,-34.5402,-58.709074
2,BUENOS AIRES,8,VIII-SAN MARTIN,agencia,190,AG. MALVINAS ARGENTINAS,GRAND BOURG,FRANCISCO SEGUI 1371,1614,02320-413700 / 800 / 900,,,,,,-34.486361,-58.723751
2,BUENOS AIRES,8,VIII-SAN MARTIN,agencia,191,AG. JOSE C. PAZ,JOSE CLEMENTE PAZ,PTE. PERON 3832,1665,02320-442604 / 436755,,,,,,-34.525793,-58.734523
2,BUENOS AIRES,8,VIII-SAN MARTIN,agencia,192,AG. TIGRE,TIGRE,AV. CAZON 966,1648,4580-5580 / 81 / 82 / 83 / 84 / 85 / 86,,,"Gimnasia, actividad acuática",,,-34.42778,-58.574148
2,BUENOS AIRES,8,VIII-SAN MARTIN,agencia,193,AG. SAN FERNANDO,SAN FERNANDO,AV. CONSTITUCION 1452,1646,4580-57774,,,,,,-34.443389,-58.553828
2,BUENOS AIRES,8,VIII-SAN MARTIN,agencia,194,AG. GRAL. PACHECO,GENERAL PACHECO,CONSTITUYENTES 44,1617,4512-9350 / 9351,4512-9350 / 9351,,,,,-34.459349,-58.635968
2,BUENOS AIRES,8,VIII-SAN MARTIN,agencia,195,AG. VILLA ZAGALA,VILLA ZAGALA,AV. CONSTITUYENTES 3146,0,4712-2752,,,,,,-34.549991,-58.524796
2,BUENOS AIRES,10,X-LANUS,ugl,0,,REMEDIOS DE ESCALADA,AV. HIPOLITO YRIGOYEN 6247,1826,CONMUTADOR: 011- 5088-2000,4248-9379,,,4242-3096 / 4288-0993,SR. ISMAEL RAMON ALE,-34.7277799,-58.3958805
2,BUENOS AIRES,10,X-LANUS,agencia,218,AG. VALENTIN ALSINA,VALENTIN ALSINA,JUAN DOMINGO PERÓN 3872,1822,4228-3246/3163,,,,,,-34.668935,-58.41225
2,BUENOS AIRES,10,X-LANUS,agencia,219,AG. LANUS CENTRO,LANUS ESTE,ARTURO ILLIA 1173 (ex Emilio Mitre),1824,4241-2959 / 4275 / 3468 / 4225-1534 JEFATURA: 4249-8508,,,"Gimnasia, danzas, yoga otras actividades orientales, actividad acuática",,,-34.705194,-58.386458
2,BUENOS AIRES,10,X-LANUS,agencia,220,AG. MONTE CHINGOLO,MONTE CHINGOLO,CENTENARIO URUGUAYO 1380,1824,4246-3619,,,,,,-34.720874,-58.361031
2,BUENOS AIRES,10,X-LANUS,agencia,221,AG. LOMAS DE ZAMORA,LOMAS DE ZAMORA,AV. ALSINA 1923,1832,4292-0958 / 0492 / 0994 CONMUTADOR: 4292-1264,,,"Gimnasia, técnicas de trabajo corporal, caminatas, actividad acuática, danzas, música, canto / coro, artes plásticas, artesanías / manualidades, juegos, reflexión, enfermedades endócrino metabólicas, juegos de mesa, música, yoga otras actividades orientales alimentación saludable",,,-34.759155,-58.39605
2,BUENOS AIRES,10,X-LANUS,agencia,222,AG. MONTE GRANDE,MONTE GRANDE,MAXIMO PAZ 11,1842,4290-0042 / 4281-7389,,,,,,-34.813962,-58.470229
2,BUENOS AIRES,10,X-LANUS,agencia,223,AG. ADROGUE,ADROGUE,CANALE 961,1846,4293-8369 / 4294-2373,,,,,,-34.781417,-58.365562
2,BUENOS AIRES,10,X-LANUS,agencia,224,AG. VILLA FIORITO,VILLA FIORITO,EL PLUMERILLO 2148,1831,4286-4214,,,,,,-34.707857,-58.439931
2,BUENOS AIRES,10,X-LANUS,agencia,225,AG. EZEIZA,EZEIZA,CONQUISTA DEL DESIERTO 372,1804,4389-0332/0509/0572 4232-8996,,,,,,-34.855158,-58.52353
2,BUENOS AIRES,10,X-LANUS,agencia,226,AG. AVELLANEDA,AVELLANEDA,BEGUERESTAIN 30,1870,4203-6133 / 9944 / 3489 DIRECTO: 4203-3658,,,"Actividad acuática, memoria, yoga otras técnicas orientales, gimnasia, artesanías / manualidades",,,-34.669817,-58.35376
2,BUENOS AIRES,10,X-LANUS,agencia,227,AG. PIÑEYRO,PIÑEYRO,VILLEGAS 15,1870,4201-7236,,,,,,-34.666517,-58.378626
2,BUENOS AIRES,10,X-LANUS,agencia,228,AG. GLEW,GLEW,SARMIENTO 195,1856,02224-434993 / 4963,,,,,,-34.890718,-58.386887
2,BUENOS AIRES,10,X-LANUS,agencia,229,AG. BANFIELD,BANFIELD,HIPOLITO YRIGOYEN 6922,1828,4202-6263 / 6648 / 2817,,,,,,-34.735511,-58.397487
2,BUENOS AIRES,10,X-LANUS,agencia,696,AG. WILDE,WILDE,FABIAN ONZARI 184,1875,4206-0779/1657 - 4217-3328/1952,,,,,,-34.705476,-58.318995
2,BUENOS AIRES,11,XI-MAR DEL PLATA,ugl,0,,MAR DEL PLATA,BALCARCE 3296,7600,CONMUTADOR: 0223 499-1200,0223-4925569,0223-4949986/68/76,,0223-4991252,DR. FERNANDO MARTIN ALI,-37.9909988,-57.550045
2,BUENOS AIRES,11,XI-MAR DEL PLATA,agencia,232,AG. BALCARCE,BALCARCE,CALLE 15 NRO. 401,7620,02266-423796,,,,,,-37.842173,-58.258356
2,BUENOS AIRES,11,XI-MAR DEL PLATA,agencia,233,AG. NECOCHEA,NECOCHEA,AV. 62 NRO. 3143,7630,02262-425134 435378,,,,,,-38.554458,-58.743964
2,BUENOS AIRES,11,XI-MAR DEL PLATA,agencia,234,AG. STA. TERESITA,SANTA TERESITA,CALLE 35 NRO. 801,7107,02246-420598 / 420128 / 420695,,,,,,-36.536761,-56.700014
2,BUENOS AIRES,11,XI-MAR DEL PLATA,agencia,235,AG. SAN CAYETANO,SAN CAYETANO,BELGRANO Y JUSTO GIRADO,7521,02983-440501,,,,,,-38.344012,-59.613891
2,BUENOS AIRES,11,XI-MAR DEL PLATA,agencia,236,AG. LOBERIA,LOBERIA,ALEM 169,7635,02261-443098,,,"Yoga otras actividades orientales, danzas",,,-38.162433,-58.781505
2,BUENOS AIRES,11,XI-MAR DEL PLATA,agencia,237,AG. MIRAMAR,MIRAMAR,CALLE 28 NRO. 1127,7607,02291-421117,,,"Gimnasia, yoga otras actividades orientales, danzas, memoria, artesanías / manualidades, teatro, memoria, música, canto / coro",,,-38.268814,-57.84006
2,BUENOS AIRES,11,XI-MAR DEL PLATA,agencia,238,AG. VILLA GESELL,VILLA GESELL,PASEO 105 NRO. 365,7165,02255-467176,,,,,,-37.255763,-56.970037
2,BUENOS AIRES,11,XI-MAR DEL PLATA,agencia,239,AG. GRAL. MADARIAGA,GRAL. MADARIAGA,HIPOLITO IRIGOYEN 122,7163,02267-425448,,,,,,-36.997549,-57.13407
2,BUENOS AIRES,11,XI-MAR DEL PLATA,agencia,240,AG. CNEL. VIDAL,CORONEL VIDAL,AVELLANEDA 40,7174,02265-432383,,,,,,-37.449003,-57.728523
2,BUENOS AIRES,11,XI-MAR DEL PLATA,agencia,241,AG. MAIPU,MAIPU,JULIAN LYNCH 641,7160,02268-421569,,,,,,-36.863759,-57.877278
2,BUENOS AIRES,11,XI-MAR DEL PLATA,agencia,242,AG. DOLORES,DOLORES,CASTELLI 152,7100,02245-447133,,,,,,-36.326415,-57.669278
2,BUENOS AIRES,11,XI-MAR DEL PLATA,agencia,243,AG. PINAMAR,PINAMAR,MARCO POLO ESQ. JASON,7167,02254-484338,,,,,,-37.112266,-56.865774
2,BUENOS AIRES,11,XI-MAR DEL PLATA,agencia,244,AG. GENERAL GUIDO,GENERAL GUIDO,ANSELMO CEPEDA 150,7118,02268-491087,,,,,,-36.641014,-57.791963
2,BUENOS AIRES,11,XI-MAR DEL PLATA,agencia,245,AG. MAR DE AJO,MAR DE AJO,SAN JUAN 1263,7109,02257-429357,,,,,,-36.705019,-56.67817
2,BUENOS AIRES,11,XI-MAR DEL PLATA,agencia,246,AG. ZONA PUERTO MAR DEL PLATA,MAR DEL PLATA,RONDEAU 520,7600,0223-4895058 / 4804330,,,,,,-38.040706,-57.550875
2,BUENOS AIRES,11,XI-MAR DEL PLATA,agencia,247,AG. QUEQUEN,QUEQUEN,CALLE 521 N° 2399,7631,02262-452870,,,,,,-38.558536,-58.711606
2,BUENOS AIRES,11,XI-MAR DEL PLATA,agencia,248,AG. SAN CLEMENTE DEL TUYU,SAN CLEMENTE DEL TUYU,CALLE 4 NRO. 2303,7105,02252-422700,,,,,,-36.359185,-56.716107
2,BUENOS AIRES,11,XI-MAR DEL PLATA,agencia,249,AG. GENERAL PIRAN,GENERAL PIRAN,BELGRANO 351,7172,02265-491023,,,,,,-37.27477,-57.774979
2,BUENOS AIRES,11,XI-MAR DEL PLATA,agencia,250,AG. CMTE. NICANOR OTAMENDI,CMTE. NICANOR OTAMENDI,PUEYRREDON 2565,7603,02291-480031,,,,,,-38.110384,-57.841845
2,BUENOS AIRES,11,XI-MAR DEL PLATA,agencia,251,AG. JUAN N. FERNANDEZ,J. N. FERNANDEZ,CALLE 35 ESQ. 20,7011,02264-498270,,,,,,-38.006511,-59.263873
2,BUENOS AIRES,11,XI-MAR DEL PLATA,agencia,252,AG. LA DULCE,LA DULCE,CALLE 33 NRO. 45,7636,02264-432444,,,,,,-38.282526,-59.199965
2,BUENOS AIRES,11,XI-MAR DEL PLATA,agencia,253,AG. SANTA CLARA DEL MAR,SANTA CLARA DEL MAR,LASTRES 174,7609,0223-4504141,,,,,,-37.842733,-57.505406
2,BUENOS AIRES,11,XI-MAR DEL PLATA,agencia,254,AG. BATAN,BATAN,CALLE 136 ESQ. 155,7601,0223-4642174,,,,,,-38.008269,-57.709901
2,BUENOS AIRES,11,XI-MAR DEL PLATA,agencia,255,AG. GENERAL LAVALLE,GRAL. LAVALLE,DE LA SERNA 1064,7103,02252-491337,,,,,,-36.405741,-56.943183
2,BUENOS AIRES,11,XI-MAR DEL PLATA,agencia,256,AG. TANDIL,TANDIL,PINTO 869,7600,0249-4422531/2/4429320/4449521,,,Yoga otras técnicas orientales,,,-37.325601,-59.13222
2,BUENOS AIRES,11,XI-MAR DEL PLATA,agencia,257,AG. AYACUCHO,AYACUCHO,9 DE JULIO 737,7150,02296-451180,,,,,,-37.152912,-58.489476
2,BUENOS AIRES,11,XI-MAR DEL PLATA,agencia,258,AG. BENITO JUAREZ,BENITO JUAREZ,CORDOBA 95,7020,02292-451280,,,,,,-37.674565,-59.798244
