tipo,sub_tipo,codigo,nombre,provincia,codigo_departamento,departamento,localidad,direccion_geo,direccion,cp,telefono,extra1_actividades,extra2_prestaciones,extra3_responsable,lat,lon
oficina,ugl,0,,BUENOS AIRES,,,BAHIA BLANCA,SAN MARTIN 261,SAN MARTIN 261,8000,"CONMUTADOR: 0291 459-2900, fax: 0291-4532911",,int. 132,DR. DAMIAN VANZINI,-38.7191614,-62.26201989999999
oficina,agencia,111,AG. SAAVEDRA,BUENOS AIRES,,,SAAVEDRA,C. LOPEZ 316,C. LOPEZ 316,8174,02923-497104,,,,-37.763183,-62.347291
oficina,agencia,112,AG. VILLA MITRE,BUENOS AIRES,,,VILLA MITRE,CASEROS 1581,CASEROS 1581,8001,0291-4818588,,,,-38.730502,-62.247101
oficina,agencia,114,AG. CORONEL ROSALES,BUENOS AIRES,,,PUNTA ALTA,HUMBERTO PRIMO 202,HUMBERTO PRIMO 202,8109,"02932-424844, fax: 0293-2424844",,,,-38.875399,-62.074091
oficina,agencia,115,AG. TRES ARROYOS,BUENOS AIRES,,,TRES ARROYOS,ISTILART 86,ISTILART 86,7500,"02983-430045, fax: 02983-430045",,,,-38.378067,-60.272094
oficina,agencia,116,AG. CORONEL PRINGLES,BUENOS AIRES,,,CORONEL PRINGLES,STEGMANN 557,STEGMANN 557,7530,02922-462903,,,,-37.986769,-61.353462
oficina,agencia,117,AG. CNEL DORREGO,BUENOS AIRES,,,CORONEL DORREGO,MACIEL 457,MACIEL 457,8150,"0292-1452007, fax: 0292-1452007",,,,-38.717662,-61.285357
oficina,agencia,118,AG. TORNQUIST,BUENOS AIRES,,,TORNQUIST,RAWSON 240,RAWSON 240,8160,"0291-4941301, fax: 0291-4941301",,,,-38.097686,-62.22383
oficina,agencia,119,AG. ORENSE,BUENOS AIRES,,,ORENSE,SARMIENTO 198,SARMIENTO 198,7503,"0298-2420074, fax: 0298-2420101/2420074",,,,-38.685309,-59.773965
oficina,agencia,120,AG. CORONEL SUAREZ,BUENOS AIRES,,,CORONEL SUAREZ,BELGRANO 1029,BELGRANO 1029,7540,"0292-6422072, fax: 0292-6422072",,,,-37.454556,-61.930804
oficina,agencia,121,AG. PELLEGRINI,BUENOS AIRES,,,PELLEGRINI,MARCONI 437,MARCONI 437,6346,"02392-498357, fax: 02392-498357",,,,-36.267321,-63.161652
oficina,agencia,122,AG. TRES LOMAS,BUENOS AIRES,,,TRES LOMAS,SAN MARTIN 362,SAN MARTIN 362,6409,"0239-4420427, fax: 0239-4420427",,,,-36.457326,-62.858634
oficina,agencia,123,AG. MONTE HERMOSO,BUENOS AIRES,,,MONTE HERMOSO,"TRAFUL BIS, GALERIA FENIZI LOCAL 268","TRAFUL BIS, GALERIA FENIZI LOCAL 268",8153,"02921-482258, fax: 02921-482258",,,,-38.986367,-61.285046
oficina,agencia,124,AG. CARMEN DE PATAGONES,BUENOS AIRES,,,CARMEN DE PATAGONES,7 DE MARZO 150,7 DE MARZO 150,8504,"0292-0461833, fax: 0292-0461833",,,,-40.800589,-62.985545
oficina,agencia,125,AG. MEDANOS,BUENOS AIRES,,,MEDANOS,BARTOLOME MITRE 400,BARTOLOME MITRE 400,8132,"02927-432013 / 433151, fax: 0292-7432013",,,,-38.827606,-62.693832
oficina,agencia,126,AG. SALLIQUELO,BUENOS AIRES,,,SALLIQUELO,HUGO STROEDER OESTE 516,HUGO STROEDER OESTE 516,6339,"02394-480266, fax: 02394-480266",,,,-36.750129,-62.960165
oficina,agencia,127,AG. GUAMINI,BUENOS AIRES,,,GUAMINI,AV. M. FREIRE 105,AV. M. FREIRE 105,6435,"0292-9432396, fax: 0292-9432396",,,,-37.011703,-62.417071
oficina,agencia,128,AG. CARHUE,BUENOS AIRES,,,CARHUE,LAPRIDA 960,LAPRIDA 960,6430,0293-6432692,,,,-37.176458,-62.755036
oficina,agencia,129,AG. PIGUE,BUENOS AIRES,,,PIGUE,MONSEÑOR DURBAN 701,MONSEÑOR DURBAN 701,8170,"0292-3472045, fax: 0292-3472045","Técnicas de Trabajo Corporal, Memoria, Alimentacion Saludable, Artesanías / Manualidades, Enfermedades Cardiovasculares, Prevención del Sedentarismo, Gimnasia, Controles Médicos en Salud",,,-37.602876,-62.40665
oficina,agencia,130,AG. PUAN,BUENOS AIRES,,,PUAN,SAN MARTIN 498,SAN MARTIN 498,8180,02923-498138 / 489575,,,,-37.543931,-62.76726
oficina,agencia,131,AG. HUANGUELEN,BUENOS AIRES,,,HUANGUELEN,CALLE 12 558,CALLE 12 558,7545,"0293-3432479, fax: 0293-3432479",,,,-37.062403,-61.932514
oficina,agencia,132,AG. PEDRO LURO,BUENOS AIRES,,,PEDRO LURO,CALLE 24 NRO. 162,CALLE 24 NRO. 162,8148,"0292-8420295, fax: 0292-8420295",,,,-39.501127,-62.683361
oficina,agencia,133,AG. DARREGUEIRA,BUENOS AIRES,,,DARREGUEIRA,ITALIA Y SAAVEDRA (CENTRO CIVICO),ITALIA Y SAAVEDRA (CENTRO CIVICO),8183,0292-4420205,,,,-37.691326,-63.160365
oficina,agencia,134,AG. CASBAS,BUENOS AIRES,,,CASBAS,SAN MARTIN 936,SAN MARTIN 936,6436,02929-480034,,,,-36.756387,-62.502859
oficina,agencia,136,AG. STROEDER,BUENOS AIRES,,,CARMEN DE PATAGONES,7 DE MARZO 411,7 DE MARZO 411,8508,02920-491404,,,,-40.183791,-62.617443
oficina,agencia,139,AG. DANIEL CERRI,BUENOS AIRES,,,DANIEL CERRI,J. M. GUTIERREZ 379,J. M. GUTIERREZ 379,8105,0291-4846275,,,,-38.720575,-62.39237
oficina,agencia,140,AG. INGENIERO WHITE,BUENOS AIRES,,,ING. WHITE,SICHES 3937,SICHES 3937,0,0291-457-1149,,,,-38.784314,-62.267314
oficina,ugl,0,,BUENOS AIRES,,,LA PLATA,AVENIDA 7 NRO. 170,AVENIDA 7 NRO. 170,1900,"CONMUTADOR: 0221 439-1000, fax: 0221-4271503","Literatura, alimentación saludable, gimnasia, caminatas, actividad acuática, enfermedades endócrino metabólicas",0221-4248673,SRA. ARACELI MASTELLONE SANCHEZ,-34.90341069999999,-57.9650022
oficina,agencia,159,AG. LOBOS,BUENOS AIRES,,,LOBOS,BARTOLOME MITRE 368,BARTOLOME MITRE 368,7240,2227-422111,"Yoga otras técnicas orientales, gimnasia, alimentación saludable, caminatas",,,-35.188084,-59.092609
oficina,agencia,160,AG. CHASCOMUS,BUENOS AIRES,,,CHASCOMUS,BELGRANO 115,BELGRANO 115,7130,02241-423143 / 431644,,,,-35.575189,-58.014833
oficina,agencia,161,AG. ALEJANDRO KORN,BUENOS AIRES,,,ALEJANDRO KORN,AV. PTE. PERON Y MITRE,AV. PTE. PERON Y MITRE,1864,2225-421091,,,,-34.99737,-58.39254
oficina,agencia,162,AG. MONTE,BUENOS AIRES,,,SAN MIGUEL DEL MONTE,SANTOS MOLINAS 765,SANTOS MOLINAS 765,7220,02271-420704,,,,-35.436967,-58.806818
oficina,agencia,163,AG. GRAL. BELGRANO,BUENOS AIRES,,,GENERAL BELGRANO,RIVADAVIA 64,RIVADAVIA 64,7223,02243-452860,,,,-35.766537,-58.496153
oficina,agencia,164,AG. CANUELAS,BUENOS AIRES,,,CANUELAS,BASAVILBASO 480,BASAVILBASO 480,1814,"02226-422930 / 431792, fax: 2226-422930",,,,-35.056717,-58.759199
oficina,agencia,165,AG. RANCHOS,BUENOS AIRES,,,RANCHOS,HIPOLITO YRIGOYEN 3247,HIPOLITO YRIGOYEN 3247,1987,02241-481027,,,,-35.51588,-58.315952
oficina,agencia,166,AG. CNEL. BRANDSEN,BUENOS AIRES,,,CNEL. BRANDSEN,ALBERTI 965,ALBERTI 965,1980,02223-443607,"Alimentación saludable, enfermedades endócrino metabólicas",,,-35.169318,-58.234173
oficina,agencia,167,AG. ENSENADA,BUENOS AIRES,,,ENSENADA,FERELLA 593,FERELLA 593,1925,0221-4692816,"Alimentación saludable, música, enfermedades endócrino metabólicas",,,-34.861496,-57.910656
oficina,agencia,168,AG. BERISSO,BUENOS AIRES,,,BERISSO,CALLE 161 N° 606 PB ESQ.8,CALLE 161 N° 606 PB ESQ.8,1923,0221-4640710,,,,-34.870317,-57.883877
oficina,agencia,169,AG. MAGDALENA,BUENOS AIRES,,,MAGDALENA,GOENAGA 882,GOENAGA 882,1913,2221-452722,,,,-35.075913,-57.517641
oficina,agencia,170,AG. GUERNICA,BUENOS AIRES,,,GUERNICA,RTA. 210 E/ AVDA. EVA PERON Y CALLE 24,RTA. 210 E/ AVDA. EVA PERON Y CALLE 24,7220,02224-473190,,,,-34.917185,-58.384187
oficina,agencia,171,AG. CITY BELL,BUENOS AIRES,,,CITY BELL,CON. CENTENARIO 76 (ENTRE PELLEGRINI Y GUEMES),CON. CENTENARIO 76 (ENTRE PELLEGRINI Y GUEMES),1896,0221-4720228,,,,-34.867597,-58.039218
oficina,agencia,172,AG. LOS HORNOS,BUENOS AIRES,,,LOS HORNOS,CALLE 66 NRO. 2340,CALLE 66 NRO. 2340,1903,0221-4507258,,,,-34.958875,-57.970866
oficina,agencia,173,AG. MELCHOR ROMERO,BUENOS AIRES,,,MELCHOR ROMERO,CALLE 169 1376 E/518 Y 519 CENTRO COMUNAL,CALLE 169 1376 E/518 Y 519 CENTRO COMUNAL,1903,0221-478-1600,,,,-34.946863,-58.048135
oficina,agencia,174,AG. VILLA ELISA,BUENOS AIRES,,,VILLA ELISA,AV. ARANA 574 E/CENTENARIO 7 LOC. 574,AV. ARANA 574 E/CENTENARIO 7 LOC. 574,1894,02221-4730098,,,,-34.859623,-58.086483
oficina,agencia,175,AG. MANUEL J. COBO,BUENOS AIRES,,,MANUEL J. COBO,SAN MARTIN 280,SAN MARTIN 280,7116,02242-432759,,,,-35.876394,-57.897699
oficina,agencia,176,AG. PILA,BUENOS AIRES,,,PILA,MAXIMA P.DE CASCO 240,MAXIMA P.DE CASCO 240,7110,2242-498186,,,,-36.003875,-58.142831
oficina,agencia,177,AG. CASTELLI,BUENOS AIRES,,,CASTELLI,AV. 25 DE MAYO 308,AV. 25 DE MAYO 308,7114,2245-480220,Actividad acuática,,,-36.1,-57.816667
oficina,agencia,178,AG. VERONICA,BUENOS AIRES,,,PUNTA INDIO,CALLE 30 1606,CALLE 30 1606,1917,2221-480270,,,,-35.390065,-57.33522
oficina,agencia,179,AG. VILLA ELVIRA (PUNTO DE ATENCION 2),BUENOS AIRES,,,BERISSO,AVENIDA 122 NRO 2431,AVENIDA 122 NRO 2431,1923,0221-453-0873,,,,-34.915668,-57.944541
oficina,ugl,0,,BUENOS AIRES,,,SAN MARTIN,RICARDO BALBIN 1954,RICARDO BALBIN 1954,1650,"CONMUTADOR: 011 4724-4700, fax: 4724-4746","Actividad acuática, yoga otras técnicas orientales, artesanías / manualidades, artes plásticas, gimnasia, danzas, computación, música, reflexión, arte culinario, festejos locales, memoria, paseos solidarios, encuentro recreativo, ropería, solidario",4724-4720 al 25,DR. ARMANDO DUNAIEWSKY,-34.6693725,-58.7438182
oficina,agencia,182,AG. CASEROS,BUENOS AIRES,,,CASEROS,JUAN B. ALBERDI 4665,JUAN B. ALBERDI 4665,1678,4512-7420/1/2 4716-2520/08/02/0733,,,,-34.6034,-58.561295
oficina,agencia,183,AG. VILLA BALLESTER,BUENOS AIRES,,,VILLA BALLESTER,PROF. FERNANDO AGUER 4977,PROF. FERNANDO AGUER 4977,1653,4512-5920 / 21,,,,-34.551034,-58.558184
oficina,agencia,184,AG. ESCOBAR,BUENOS AIRES,,,ESCOBAR,SPADACCINI 1078,SPADACCINI 1078,1625,0348-8420004,,,,-34.550963,-58.558227
oficina,agencia,185,AG. SAN ISIDRO,BUENOS AIRES,,,SAN ISIDRO,9 DE JULIO 336,9 DE JULIO 336,1642,4513-4688 / 80 AL 85,,,,-34.469592,-58.511342
oficina,agencia,186,AG. CAMPANA,BUENOS AIRES,,,CAMPANA,MORENO 331,MORENO 331,2804,03489-423861 / 423686,,,,-34.162919,-58.956674
oficina,agencia,187,AG. MUNRO,BUENOS AIRES,,,MUNRO,BERNARDINO RIVADAVIA 2534,BERNARDINO RIVADAVIA 2534,1605,4512-5931 / 4721-9619 / 18,,,,-34.528674,-58.521341
oficina,agencia,188,AG. VICENTE LOPEZ,BUENOS AIRES,,,VICENTE LOPEZ,AV. MAIPU 2124,AV. MAIPU 2124,1638,4519-5452/53/54,Yoga otras técnicas orientales,,,-34.52812,-58.473816
oficina,agencia,189,AG. SAN MIGUEL,BUENOS AIRES,,,SAN MIGUEL,MUÑOZ 1563,MUÑOZ 1563,1663,4664-3004/06/4335/4641/1486/5679/3246,"Yoga otras técnicas orientales, artesanías / manualidades, artes plásticas, gimnasia",,,-34.5402,-58.709074
oficina,agencia,190,AG. MALVINAS ARGENTINAS,BUENOS AIRES,,,GRAND BOURG,FRANCISCO SEGUI 1371,FRANCISCO SEGUI 1371,1614,02320-413700 / 800 / 900,,,,-34.486361,-58.723751
oficina,agencia,191,AG. JOSE C. PAZ,BUENOS AIRES,,,JOSE CLEMENTE PAZ,PTE. PERON 3832,PTE. PERON 3832,1665,02320-442604 / 436755,,,,-34.525793,-58.734523
oficina,agencia,192,AG. TIGRE,BUENOS AIRES,,,TIGRE,AV. CAZON 966,AV. CAZON 966,1648,4580-5580 / 81 / 82 / 83 / 84 / 85 / 86,"Gimnasia, actividad acuática",,,-34.42778,-58.574148
oficina,agencia,193,AG. SAN FERNANDO,BUENOS AIRES,,,SAN FERNANDO,AV. CONSTITUCION 1452,AV. CONSTITUCION 1452,1646,4580-57774,,,,-34.443389,-58.553828
oficina,agencia,194,AG. GRAL. PACHECO,BUENOS AIRES,,,GENERAL PACHECO,CONSTITUYENTES 44,CONSTITUYENTES 44,1617,"4512-9350 / 9351, fax: 4512-9350 / 9351",,,,-34.459349,-58.635968
oficina,agencia,195,AG. VILLA ZAGALA,BUENOS AIRES,,,VILLA ZAGALA,AV. CONSTITUYENTES 3146,AV. CONSTITUYENTES 3146,0,4712-2752,,,,-34.549991,-58.524796
oficina,ugl,0,,BUENOS AIRES,,,REMEDIOS DE ESCALADA,AV. HIPOLITO YRIGOYEN 6247,AV. HIPOLITO YRIGOYEN 6247,1826,"CONMUTADOR: 011- 5088-2000, fax: 4248-9379",,4242-3096 / 4288-0993,SR. ISMAEL RAMON ALE,-34.7277799,-58.3958805
oficina,agencia,218,AG. VALENTIN ALSINA,BUENOS AIRES,,,VALENTIN ALSINA,JUAN DOMINGO PERÓN 3872,JUAN DOMINGO PERÓN 3872,1822,4228-3246/3163,,,,-34.668935,-58.41225
oficina,agencia,219,AG. LANUS CENTRO,BUENOS AIRES,,,LANUS ESTE,ARTURO ILLIA 1173 (ex Emilio Mitre),ARTURO ILLIA 1173 (ex Emilio Mitre),1824,4241-2959 / 4275 / 3468 / 4225-1534 JEFATURA: 4249-8508,"Gimnasia, danzas, yoga otras actividades orientales, actividad acuática",,,-34.705194,-58.386458
oficina,agencia,220,AG. MONTE CHINGOLO,BUENOS AIRES,,,MONTE CHINGOLO,CENTENARIO URUGUAYO 1380,CENTENARIO URUGUAYO 1380,1824,4246-3619,,,,-34.720874,-58.361031
oficina,agencia,221,AG. LOMAS DE ZAMORA,BUENOS AIRES,,,LOMAS DE ZAMORA,AV. ALSINA 1923,AV. ALSINA 1923,1832,4292-0958 / 0492 / 0994 CONMUTADOR: 4292-1264,"Gimnasia, técnicas de trabajo corporal, caminatas, actividad acuática, danzas, música, canto / coro, artes plásticas, artesanías / manualidades, juegos, reflexión, enfermedades endócrino metabólicas, juegos de mesa, música, yoga otras actividades orientales alimentación saludable",,,-34.759155,-58.39605
oficina,agencia,222,AG. MONTE GRANDE,BUENOS AIRES,,,MONTE GRANDE,MAXIMO PAZ 11,MAXIMO PAZ 11,1842,4290-0042 / 4281-7389,,,,-34.813962,-58.470229
oficina,agencia,223,AG. ADROGUE,BUENOS AIRES,,,ADROGUE,CANALE 961,CANALE 961,1846,4293-8369 / 4294-2373,,,,-34.781417,-58.365562
oficina,agencia,224,AG. VILLA FIORITO,BUENOS AIRES,,,VILLA FIORITO,EL PLUMERILLO 2148,EL PLUMERILLO 2148,1831,4286-4214,,,,-34.707857,-58.439931
oficina,agencia,225,AG. EZEIZA,BUENOS AIRES,,,EZEIZA,CONQUISTA DEL DESIERTO 372,CONQUISTA DEL DESIERTO 372,1804,4389-0332/0509/0572 4232-8996,,,,-34.855158,-58.52353
oficina,agencia,226,AG. AVELLANEDA,BUENOS AIRES,,,AVELLANEDA,BEGUERESTAIN 30,BEGUERESTAIN 30,1870,4203-6133 / 9944 / 3489 DIRECTO: 4203-3658,"Actividad acuática, memoria, yoga otras técnicas orientales, gimnasia, artesanías / manualidades",,,-34.669817,-58.35376
oficina,agencia,227,AG. PIÑEYRO,BUENOS AIRES,,,PIÑEYRO,VILLEGAS 15,VILLEGAS 15,1870,4201-7236,,,,-34.666517,-58.378626
oficina,agencia,228,AG. GLEW,BUENOS AIRES,,,GLEW,SARMIENTO 195,SARMIENTO 195,1856,02224-434993 / 4963,,,,-34.890718,-58.386887
oficina,agencia,229,AG. BANFIELD,BUENOS AIRES,,,BANFIELD,HIPOLITO YRIGOYEN 6922,HIPOLITO YRIGOYEN 6922,1828,4202-6263 / 6648 / 2817,,,,-34.735511,-58.397487
oficina,agencia,696,AG. WILDE,BUENOS AIRES,,,WILDE,FABIAN ONZARI 184,FABIAN ONZARI 184,1875,4206-0779/1657 - 4217-3328/1952,,,,-34.705476,-58.318995
oficina,ugl,0,,BUENOS AIRES,,,MAR DEL PLATA,BALCARCE 3296,BALCARCE 3296,7600,"CONMUTADOR: 0223 499-1200, fax: 0223-4925569",,0223-4991252,DR. FERNANDO MARTIN ALI,-37.9909988,-57.550045
oficina,agencia,232,AG. BALCARCE,BUENOS AIRES,,,BALCARCE,CALLE 15 NRO. 401,CALLE 15 NRO. 401,7620,02266-423796,,,,-37.842173,-58.258356
oficina,agencia,233,AG. NECOCHEA,BUENOS AIRES,,,NECOCHEA,AV. 62 NRO. 3143,AV. 62 NRO. 3143,7630,02262-425134 435378,,,,-38.554458,-58.743964
oficina,agencia,234,AG. STA. TERESITA,BUENOS AIRES,,,SANTA TERESITA,CALLE 35 NRO. 801,CALLE 35 NRO. 801,7107,02246-420598 / 420128 / 420695,,,,-36.536761,-56.700014
oficina,agencia,235,AG. SAN CAYETANO,BUENOS AIRES,,,SAN CAYETANO,BELGRANO Y JUSTO GIRADO,BELGRANO Y JUSTO GIRADO,7521,02983-440501,,,,-38.344012,-59.613891
oficina,agencia,236,AG. LOBERIA,BUENOS AIRES,,,LOBERIA,ALEM 169,ALEM 169,7635,02261-443098,"Yoga otras actividades orientales, danzas",,,-38.162433,-58.781505
oficina,agencia,237,AG. MIRAMAR,BUENOS AIRES,,,MIRAMAR,CALLE 28 NRO. 1127,CALLE 28 NRO. 1127,7607,02291-421117,"Gimnasia, yoga otras actividades orientales, danzas, memoria, artesanías / manualidades, teatro, memoria, música, canto / coro",,,-38.268814,-57.84006
oficina,agencia,238,AG. VILLA GESELL,BUENOS AIRES,,,VILLA GESELL,PASEO 105 NRO. 365,PASEO 105 NRO. 365,7165,02255-467176,,,,-37.255763,-56.970037
oficina,agencia,239,AG. GRAL. MADARIAGA,BUENOS AIRES,,,GRAL. MADARIAGA,HIPOLITO IRIGOYEN 122,HIPOLITO IRIGOYEN 122,7163,02267-425448,,,,-36.997549,-57.13407
oficina,agencia,240,AG. CNEL. VIDAL,BUENOS AIRES,,,CORONEL VIDAL,AVELLANEDA 40,AVELLANEDA 40,7174,02265-432383,,,,-37.449003,-57.728523
oficina,agencia,241,AG. MAIPU,BUENOS AIRES,,,MAIPU,JULIAN LYNCH 641,JULIAN LYNCH 641,7160,02268-421569,,,,-36.863759,-57.877278
oficina,agencia,242,AG. DOLORES,BUENOS AIRES,,,DOLORES,CASTELLI 152,CASTELLI 152,7100,02245-447133,,,,-36.326415,-57.669278
oficina,agencia,243,AG. PINAMAR,BUENOS AIRES,,,PINAMAR,MARCO POLO ESQ. JASON,MARCO POLO ESQ. JASON,7167,02254-484338,,,,-37.112266,-56.865774
oficina,agencia,244,AG. GENERAL GUIDO,BUENOS AIRES,,,GENERAL GUIDO,ANSELMO CEPEDA 150,ANSELMO CEPEDA 150,7118,02268-491087,,,,-36.641014,-57.791963
oficina,agencia,245,AG. MAR DE AJO,BUENOS AIRES,,,MAR DE AJO,SAN JUAN 1263,SAN JUAN 1263,7109,02257-429357,,,,-36.705019,-56.67817
oficina,agencia,246,AG. ZONA PUERTO MAR DEL PLATA,BUENOS AIRES,,,MAR DEL PLATA,RONDEAU 520,RONDEAU 520,7600,0223-4895058 / 4804330,,,,-38.040706,-57.550875
oficina,agencia,247,AG. QUEQUEN,BUENOS AIRES,,,QUEQUEN,CALLE 521 N° 2399,CALLE 521 N° 2399,7631,02262-452870,,,,-38.558536,-58.711606
oficina,agencia,248,AG. SAN CLEMENTE DEL TUYU,BUENOS AIRES,,,SAN CLEMENTE DEL TUYU,CALLE 4 NRO. 2303,CALLE 4 NRO. 2303,7105,02252-422700,,,,-36.359185,-56.716107
oficina,agencia,249,AG. GENERAL PIRAN,BUENOS AIRES,,,GENERAL PIRAN,BELGRANO 351,BELGRANO 351,7172,02265-491023,,,,-37.27477,-57.774979
oficina,agencia,250,AG. CMTE. NICANOR OTAMENDI,BUENOS AIRES,,,CMTE. NICANOR OTAMENDI,PUEYRREDON 2565,PUEYRREDON 2565,7603,02291-480031,,,,-38.110384,-57.841845
oficina,agencia,251,AG. JUAN N. FERNANDEZ,BUENOS AIRES,,,J. N. FERNANDEZ,CALLE 35 ESQ. 20,CALLE 35 ESQ. 20,7011,02264-498270,,,,-38.006511,-59.263873
oficina,agencia,252,AG. LA DULCE,BUENOS AIRES,,,LA DULCE,CALLE 33 NRO. 45,CALLE 33 NRO. 45,7636,02264-432444,,,,-38.282526,-59.199965
oficina,agencia,253,AG. SANTA CLARA DEL MAR,BUENOS AIRES,,,SANTA CLARA DEL MAR,LASTRES 174,LASTRES 174,7609,0223-4504141,,,,-37.842733,-57.505406
oficina,agencia,254,AG. BATAN,BUENOS AIRES,,,BATAN,CALLE 136 ESQ. 155,CALLE 136 ESQ. 155,7601,0223-4642174,,,,-38.008269,-57.709901
