tipo,sub_tipo,codigo,nombre,provincia,codigo_departamento,departamento,localidad,direccion_geo,direccion,cp,telefono,extra1_delegacion,extra2_codigo_delegacion,extra3,lat,lon
Farmacia,,930000439,CARAMELLO,BUENOS AIRES,,,AZUL,"SAN MARTIN 900, AZUL, BUENOS AIRES, Argentina",SAN MARTIN 900,7300,,AZUL,30,,,
Farmacia,,930000194,CARTELLE,BUENOS AIRES,,,SALADILLO,"MORENO 2734, SALADILLO, BUENOS AIRES, Argentina",MORENO 2734,7260,,AZUL,30,,,
Farmacia,,930200168,CELLILLO,BUENOS AIRES,,,GENERAL ALVEA,"SAN MARTIN 1170, GENERAL ALVEA, BUENOS AIRES, Argentina",SAN MARTIN 1170,7263,,AZUL,30,,,
Farmacia,,930200307,CENTENARIO,BUENOS AIRES,,,LAS FLORES,"SAN MARTIN 491, LAS FLORES, BUENOS AIRES, Argentina",SAN MARTIN 491,7200,,AZUL,30,,,
Farmacia,,930200556,CENTRAL DE MARCO ANTONIO,BUENOS AIRES,,,OLAVARRIA,"VTE LOPEZ Y GRAL P, OLAVARRIA, BUENOS AIRES, Argentina",VTE LOPEZ Y GRAL P,7400,,AZUL,30,,,
Farmacia,,930010271,CENTRO EMPLEADOS DE,BUENOS AIRES,,,OLAVARRIA,"MARIANO MORENO 2647, OLAVARRIA, BUENOS AIRES, Argentina",MARIANO MORENO 2647,7400,,AZUL,30,,,
Farmacia,,930201086,CERUTTI SCS,BUENOS AIRES,,,PEHUAJO,"ZANNI 580, PEHUAJO, BUENOS AIRES, Argentina",ZANNI 580,6450,,AZUL,30,,,
Farmacia,,930200110,CIENTIFICA AVDA S.C.,BUENOS AIRES,,,SALAZAR,"SAN MARTIN 120, SALAZAR, BUENOS AIRES, Argentina",SAN MARTIN 120,6471,,AZUL,30,,,
Farmacia,,930200311,COLOTTO,BUENOS AIRES,,,AZUL,"AVENIDA PERON 850, AZUL, BUENOS AIRES, Argentina",AVENIDA PERON 850,7300,,AZUL,30,,,
Farmacia,,930010018,COMAS,BUENOS AIRES,,,BOLIVAR,"SAN MARTIN 600, BOLIVAR, BUENOS AIRES, Argentina",SAN MARTIN 600,6550,,AZUL,30,,,
Farmacia,,930010127,COMAS,BUENOS AIRES,,,DAIREAUX,"ROCA Y SAN MARTIN, DAIREAUX, BUENOS AIRES, Argentina",ROCA Y SAN MARTIN,6555,,AZUL,30,,,
Farmacia,,930200975,COPPARI,BUENOS AIRES,,,DEL CARRIL,"MORENO 1466, DEL CARRIL, BUENOS AIRES, Argentina",MORENO 1466,7265,,AZUL,30,,,
Farmacia,,930201055,DARI,BUENOS AIRES,,,SIERRAS BA,"DR MANUEL SMIRNOFF 2130, SIERRAS BA, BUENOS AIRES, Argentina",DR MANUEL SMIRNOFF 2130,7403,,AZUL,30,,,
Farmacia,,930201069,DEAN,BUENOS AIRES,,,RAUCH,"AVENIDA SAN MARTIN 1040, RAUCH, BUENOS AIRES, Argentina",AVENIDA SAN MARTIN 1040,7203,,AZUL,30,,,
Farmacia,,930201024,DELLA MAGGIORA,BUENOS AIRES,,,OLAVARRIA,"AVENIDA SARMIENTO 1746, OLAVARRIA, BUENOS AIRES, Argentina",AVENIDA SARMIENTO 1746,7400,,AZUL,30,,,
Farmacia,,930000150,DEMARIA,BUENOS AIRES,,,SALADILLO,"AVENIDA RIVADAVIA 3188, SALADILLO, BUENOS AIRES, Argentina",AVENIDA RIVADAVIA 3188,7260,,AZUL,30,,,
Farmacia,,930000766,DI BERNARDI,BUENOS AIRES,,,LAS FLORES,"AVENIDA AVELLANEDA 516, LAS FLORES, BUENOS AIRES, Argentina",AVENIDA AVELLANEDA 516,7200,,AZUL,30,,,
Farmacia,,930200774,DIAB,BUENOS AIRES,,,AZUL,"AMADO DIAB 311, AZUL, BUENOS AIRES, Argentina",AMADO DIAB 311,7300,,AZUL,30,,,
Farmacia,,930201116,DISANTI,BUENOS AIRES,,,OLAVARRIA,"RIVADAVIA 1802, OLAVARRIA, BUENOS AIRES, Argentina",RIVADAVIA 1802,7400,,AZUL,30,,,
Farmacia,,930200028,EL PUEBLO S.C.S.,BUENOS AIRES,,,GENERAL ALVEAR,"SAN MARTIN 848, GENERAL ALVEAR, BUENOS AIRES, Argentina",SAN MARTIN 848,7263,,AZUL,30,,,
Farmacia,,930010550,ELIA,BUENOS AIRES,,,LARPIDA,"B MITRE ESQ PELLEG, LARPIDA, BUENOS AIRES, Argentina",B MITRE ESQ PELLEG,7414,,AZUL,30,,,
Farmacia,,930010607,FAILLA,BUENOS AIRES,,,OLAVARRIA,"CHACABUCO 2197, OLAVARRIA, BUENOS AIRES, Argentina",CHACABUCO 2197,7400,,AZUL,30,,,
Farmacia,,930010035,FAL,BUENOS AIRES,,,BOLIVAR,"SAN MARTIN 500, BOLIVAR, BUENOS AIRES, Argentina",SAN MARTIN 500,6550,,AZUL,30,,,
Farmacia,,930201102,FAR MEL,BUENOS AIRES,,,OLAVARRIA,"LAMADRID 3176, OLAVARRIA, BUENOS AIRES, Argentina",LAMADRID 3176,7400,,AZUL,30,,,
Farmacia,,930000579,FARMACIA POSE,BUENOS AIRES,,,AZUL,"COLON 812, AZUL, BUENOS AIRES, Argentina",COLON 812,7300,,AZUL,30,,,
Farmacia,,930010359,FARMACIA SPINOLA,BUENOS AIRES,,,OLAVARRIA,"NECOCHEA 3282, OLAVARRIA, BUENOS AIRES, Argentina",NECOCHEA 3282,7400,,AZUL,30,,,
Farmacia,,930200093,FENIX S.C.S.,BUENOS AIRES,,,OLAVARRIA,"VTE LOPEZ 2257, OLAVARRIA, BUENOS AIRES, Argentina",VTE LOPEZ 2257,7400,,AZUL,30,,,
Farmacia,,930010594,FERNANDEZ,BUENOS AIRES,,,LAPRIDA,"SAN MARTIN 897, LAPRIDA, BUENOS AIRES, Argentina",SAN MARTIN 897,7414,,AZUL,30,,,
Farmacia,,930201011,FERRERO,BUENOS AIRES,,,OLAVARRIA,"AVENIDA DE LOS TRABAJAD 3335, OLAVARRIA, BUENOS AIRES, Argentina",AVENIDA DE LOS TRABAJAD 3335,7400,,AZUL,30,,,
Farmacia,,930200958,FIDALGO,BUENOS AIRES,,,AZUL,"BURGOS 314, AZUL, BUENOS AIRES, Argentina",BURGOS 314,7300,,AZUL,30,,,
Farmacia,,930200281,FUILLERAT,BUENOS AIRES,,,SALADILLO,"RIVADAVIA 2449, SALADILLO, BUENOS AIRES, Argentina",RIVADAVIA 2449,7260,,AZUL,30,,,
Farmacia,,930010049,GAGLIARDI,BUENOS AIRES,,,BOLIVAR,"SAN MARTIN Y PRING, BOLIVAR, BUENOS AIRES, Argentina",SAN MARTIN Y PRING,6550,,AZUL,30,,,
Farmacia,,930000551,GARCIA,BUENOS AIRES,,,AZUL,"BURGOS 426, AZUL, BUENOS AIRES, Argentina",BURGOS 426,7300,,AZUL,30,,,
Farmacia,,930200913,GARCIA,BUENOS AIRES,,,LAS FLORES,"AVENIDA SARMIENTO 348, LAS FLORES, BUENOS AIRES, Argentina",AVENIDA SARMIENTO 348,7200,,AZUL,30,,,
Farmacia,,930200852,GOLDRIZ,BUENOS AIRES,,,RAUCH,"ALTE BROWN 385, RAUCH, BUENOS AIRES, Argentina",ALTE BROWN 385,7203,,AZUL,30,,,
Farmacia,,930200478,GOMER ARROSPIDE,BUENOS AIRES,,,BOLIVAR,"CALFUCURA Y 3 DE F, BOLIVAR, BUENOS AIRES, Argentina",CALFUCURA Y 3 DE F,6550,,AZUL,30,,,
Farmacia,,930010501,GONZALEZ,BUENOS AIRES,,,OLAVARRIA,"COLON Y URQUIZA, OLAVARRIA, BUENOS AIRES, Argentina",COLON Y URQUIZA,7400,,AZUL,30,,,
Farmacia,,930200433,IGLESIAS,BUENOS AIRES,,,BOLIVAR,"AVENIDA VENEZUELA 546, BOLIVAR, BUENOS AIRES, Argentina",AVENIDA VENEZUELA 546,6550,,AZUL,30,,,
Farmacia,,930201090,IRIGOYEN,BUENOS AIRES,,,OLAVARRIA,"AVENIDA PRINGLES 2397, OLAVARRIA, BUENOS AIRES, Argentina",AVENIDA PRINGLES 2397,7400,,AZUL,30,,,
Farmacia,,930000211,JUAN MARTIN,BUENOS AIRES,,,SALADILLO,"AVENIDA CABRAL 3227, SALADILLO, BUENOS AIRES, Argentina",AVENIDA CABRAL 3227,7260,,AZUL,30,,,
Farmacia,,930200141,LA BALBO S.C.S.,BUENOS AIRES,,,OLAVARRIA,"SAN MARTIN 2190, OLAVARRIA, BUENOS AIRES, Argentina",SAN MARTIN 2190,7403,,AZUL,30,,,
Farmacia,,930200665,LA GAMA,BUENOS AIRES,,,GENERAL LAMAD,"25 DE MAYO Y SAN M, GENERAL LAMAD, BUENOS AIRES, Argentina",25 DE MAYO Y SAN M,7406,,AZUL,30,,,
Farmacia,,930200369,LACAVE,BUENOS AIRES,,,HENDERSON,"RIVADAVIA 719, HENDERSON, BUENOS AIRES, Argentina",RIVADAVIA 719,6465,,AZUL,30,,,
Farmacia,,930200560,LAPRIDA,BUENOS AIRES,,,LAPRIDA,"AVENIDA PEREYRA 1270, LAPRIDA, BUENOS AIRES, Argentina",AVENIDA PEREYRA 1270,7414,,AZUL,30,,,
Farmacia,,930000132,LARA,BUENOS AIRES,,,ROQUE PERE,"TARIGO 1138, ROQUE PERE, BUENOS AIRES, Argentina",TARIGO 1138,7245,,AZUL,30,,,
Farmacia,,930200989,LARSEN,BUENOS AIRES,,,DAIREAUX,"PELLEGRINI 875, DAIREAUX, BUENOS AIRES, Argentina",PELLEGRINI 875,6555,,AZUL,30,,,
Farmacia,,930010100,LAURENZANO,BUENOS AIRES,,,PIROVANO,"DIAGONAL ROTETA 47, PIROVANO, BUENOS AIRES, Argentina",DIAGONAL ROTETA 47,6551,,AZUL,30,,,
Farmacia,,930200804,LAVIN,BUENOS AIRES,,,OLAVARRIA,"PRINGLES 4213, OLAVARRIA, BUENOS AIRES, Argentina",PRINGLES 4213,7400,,AZUL,30,,,
Farmacia,,930000181,LIBERTAD,BUENOS AIRES,,,SALADILLO,"RIVADAVIA 3158, SALADILLO, BUENOS AIRES, Argentina",RIVADAVIA 3158,7260,,AZUL,30,,,
Farmacia,,930200014,LISTA,BUENOS AIRES,,,CHILLAR,"CORTAZAR NRO 1099, CHILLAR, BUENOS AIRES, Argentina",CORTAZAR NRO 1099,7311,,AZUL,30,,,
Farmacia,,930010702,LOPEZ,BUENOS AIRES,,,BOLIVAR,"SAN MARTIN 897, BOLIVAR, BUENOS AIRES, Argentina",SAN MARTIN 897,6550,,AZUL,30,,,
Farmacia,,930000408,LOPEZ,BUENOS AIRES,,,AZUL,"SAN MARTIN 652, AZUL, BUENOS AIRES, Argentina",SAN MARTIN 652,7300,,AZUL,30,,,
Farmacia,,930200591,LOPEZ,BUENOS AIRES,,,PEHUAJO,"BALCARCE 501, PEHUAJO, BUENOS AIRES, Argentina",BALCARCE 501,6450,,AZUL,30,,,
Farmacia,,930200730,LUCINI,BUENOS AIRES,,,AZUL,"AVENIDA PERON 599, AZUL, BUENOS AIRES, Argentina",AVENIDA PERON 599,7300,,AZUL,30,,,
Farmacia,,930201007,LUZ Y FUERZA AZUL,BUENOS AIRES,,,AZUL,"25 DE MAYO 676, AZUL, BUENOS AIRES, Argentina",25 DE MAYO 676,7300,,AZUL,30,,,
Farmacia,,930200603,MAFREN,BUENOS AIRES,,,LAS FLORES,"AVENIDA SAN MARTIN 287, LAS FLORES, BUENOS AIRES, Argentina",AVENIDA SAN MARTIN 287,7200,,AZUL,30,,,
Farmacia,,930200587,MAGISTRAL,BUENOS AIRES,,,OLAVARRIA,"AVENIDA SARMIENTO 3001, OLAVARRIA, BUENOS AIRES, Argentina",AVENIDA SARMIENTO 3001,7400,,AZUL,30,,,
Farmacia,,930000115,MANGAS,BUENOS AIRES,,,ROQUE PERE,"BERRO 250, ROQUE PERE, BUENOS AIRES, Argentina",BERRO 250,7245,,AZUL,30,,,
Farmacia,,930200372,MANZANO,BUENOS AIRES,,,SALADILLO,"RIVADAVIA 2103, SALADILLO, BUENOS AIRES, Argentina",RIVADAVIA 2103,7200,,AZUL,30,,,
Farmacia,,930200883,MANZOTTI,BUENOS AIRES,,,LAS FLORES,"HAROSTEGUY 315, LAS FLORES, BUENOS AIRES, Argentina",HAROSTEGUY 315,7200,,AZUL,30,,,
Farmacia,,930000425,MARCHICIO,BUENOS AIRES,,,AZUL,"SAN MARTIN 399, AZUL, BUENOS AIRES, Argentina",SAN MARTIN 399,7300,,AZUL,30,,,
Farmacia,,930000224,MARCOS,BUENOS AIRES,,,SALADILLO,"MITRE 2798, SALADILLO, BUENOS AIRES, Argentina",MITRE 2798,7260,,AZUL,30,,,
Farmacia,,930010345,MARTEL,BUENOS AIRES,,,OLAVARRIA,"ESPAÑA Y GENERAL P, OLAVARRIA, BUENOS AIRES, Argentina",ESPAÑA Y GENERAL P,7400,,AZUL,30,,,
Farmacia,,930010298,MARTINEZ,BUENOS AIRES,,,OLAVARRIA,"COLON 3172, OLAVARRIA, BUENOS AIRES, Argentina",COLON 3172,7400,,AZUL,30,,,
Farmacia,,930010468,MENESCALDI,BUENOS AIRES,,,OLAVARRIA,"RIVADAVIA 3902, OLAVARRIA, BUENOS AIRES, Argentina",RIVADAVIA 3902,7400,,AZUL,30,,,
Farmacia,,930200835,MERLO,BUENOS AIRES,,,AZUL,"CANEVA 534, AZUL, BUENOS AIRES, Argentina",CANEVA 534,7300,,AZUL,30,,,
Farmacia,,930010720,MOGUES,BUENOS AIRES,,,OLAVARRIA,"CALLE 18 4656, OLAVARRIA, BUENOS AIRES, Argentina",CALLE 18 4656,7400,,AZUL,30,,,
Farmacia,,930200897,MOLINA,BUENOS AIRES,,,GENERAL ALVEA,"SAN MARTIN 699, GENERAL ALVEA, BUENOS AIRES, Argentina",SAN MARTIN 699,7263,,AZUL,30,,,
Farmacia,,930000813,MOLLO,BUENOS AIRES,,,ROQUE PERE,"RIVADAVIA Y 9 DE J, ROQUE PERE, BUENOS AIRES, Argentina",RIVADAVIA Y 9 DE J,7245,,AZUL,30,,,
Farmacia,,930010641,MUTUAL AMMBA,BUENOS AIRES,,,BOLIVAR,"ALTE BROWN 155, BOLIVAR, BUENOS AIRES, Argentina",ALTE BROWN 155,6550,,AZUL,30,,,
Farmacia,,930200062,NIETO,BUENOS AIRES,,,LAS FLORES,"SAN MARTIN 911, LAS FLORES, BUENOS AIRES, Argentina",SAN MARTIN 911,7200,,AZUL,30,,,
Farmacia,,930200931,NUEVA,BUENOS AIRES,,,TAPALQUE,"SAN MARTIN 193, TAPALQUE, BUENOS AIRES, Argentina",SAN MARTIN 193,7303,,AZUL,30,,,
Farmacia,,930200709,OLAVARRIA,BUENOS AIRES,,,OLAVARRIA,"NECOCHEA 2762, OLAVARRIA, BUENOS AIRES, Argentina",NECOCHEA 2762,7400,,AZUL,30,,,
Farmacia,,930201038,OLIVERA,BUENOS AIRES,,,SIERRA CHI,"LEGORBURUG 1214, SIERRA CHI, BUENOS AIRES, Argentina",LEGORBURUG 1214,7401,,AZUL,30,,,
Farmacia,,930000129,PALLE,BUENOS AIRES,,,TAPALQUE,"9 DE JULIO 699, TAPALQUE, BUENOS AIRES, Argentina",9 DE JULIO 699,7303,,AZUL,30,,,
Farmacia,,930000054,PARENTI,BUENOS AIRES,,,N DE LA RI,"SARGENTO CABRAL, N DE LA RI, BUENOS AIRES, Argentina",SARGENTO CABRAL,6663,,AZUL,30,,,
Farmacia,,930010070,PASTEUR,BUENOS AIRES,,,BOLIVAR,"GENERAL PAZ 60, BOLIVAR, BUENOS AIRES, Argentina",GENERAL PAZ 60,6550,,AZUL,30,,,
Farmacia,,930200634,PASTEUR,BUENOS AIRES,,,LAS FLORES,"AVENIDA GRAL PAZ 461, LAS FLORES, BUENOS AIRES, Argentina",AVENIDA GRAL PAZ 461,7200,,AZUL,30,,,
Farmacia,,930200788,PEREIRA,BUENOS AIRES,,,COLONIA HI,"AVELLANEDA 1207, COLONIA HI, BUENOS AIRES, Argentina",AVELLANEDA 1207,1318,,AZUL,30,,,
Farmacia,,930200481,PEREZ YRIGOYEN,BUENOS AIRES,,,URDAMPILLE,"SAN MARTIN 479, URDAMPILLE, BUENOS AIRES, Argentina",SAN MARTIN 479,6553,,AZUL,30,,,
Farmacia,,930000460,PEROGGI,BUENOS AIRES,,,AZUL,"YRIGOYEN 576, AZUL, BUENOS AIRES, Argentina",YRIGOYEN 576,7300,,AZUL,30,,,
Farmacia,,930010376,PICCOLI,BUENOS AIRES,,,OLAVARRIA,"PRINGLES 235, OLAVARRIA, BUENOS AIRES, Argentina",PRINGLES 235,7400,,AZUL,30,,,
Farmacia,,930200215,QUEVEDO,BUENOS AIRES,,,HINOJO,"CALLE 8, HINOJO, BUENOS AIRES, Argentina",CALLE 8,7318,,AZUL,30,,,
Farmacia,,930200229,RUSSO,BUENOS AIRES,,,HENDERSON,"RIVADAVIA 371, HENDERSON, BUENOS AIRES, Argentina",RIVADAVIA 371,6465,,AZUL,30,,,
Farmacia,,930200201,SALINAS,BUENOS AIRES,,,ROQUE PERE,"MITRE 406, ROQUE PERE, BUENOS AIRES, Argentina",MITRE 406,7245,,AZUL,30,,,
Farmacia,,930200232,SAN CARLOS,BUENOS AIRES,,,HENDERSON,"FLORIDA 443, HENDERSON, BUENOS AIRES, Argentina",FLORIDA 443,6465,,AZUL,30,,,
Farmacia,,930010406,SAN JOSE,BUENOS AIRES,,,OLAVARRIA,"PUEYRREDON 3166, OLAVARRIA, BUENOS AIRES, Argentina",PUEYRREDON 3166,7400,,AZUL,30,,,
Farmacia,,930000068,SAN MARTIN,BUENOS AIRES,,,N DE LA RI,"SARGENTO CABRAL 436, N DE LA RI, BUENOS AIRES, Argentina",SARGENTO CABRAL 436,6663,,AZUL,30,,,
Farmacia,,930200849,SAN MARTIN,BUENOS AIRES,,,LAS FLORES,"AVENIDA SAN MARTIN 567, LAS FLORES, BUENOS AIRES, Argentina",AVENIDA SAN MARTIN 567,7200,,AZUL,30,,,
Farmacia,,930200059,SANTA LUCIA,BUENOS AIRES,,,AZUL,"AVENIDA PIAZZA 1163, AZUL, BUENOS AIRES, Argentina",AVENIDA PIAZZA 1163,7300,,AZUL,30,,,
Farmacia,,930200416,SANTA ROSA,BUENOS AIRES,,,AZUL,"9 DE JULIO 763, AZUL, BUENOS AIRES, Argentina",9 DE JULIO 763,7300,,AZUL,30,,,
Farmacia,,930000626,SCHIAFINO,BUENOS AIRES,,,CACHARI,"SAN MARTIN 1390, CACHARI, BUENOS AIRES, Argentina",SAN MARTIN 1390,7214,,AZUL,30,,,
Farmacia,,930000099,SCHIAVI,BUENOS AIRES,,,ROQUE PERE,"BME MITRE 1257, ROQUE PERE, BUENOS AIRES, Argentina",BME MITRE 1257,7245,,AZUL,30,,,
Farmacia,,930010638,SIND. CERAMISTAS SOE,BUENOS AIRES,,,OLAVARRIA,"CORONEL SUAREZ 2211, OLAVARRIA, BUENOS AIRES, Argentina",CORONEL SUAREZ 2211,7400,,AZUL,30,,,
Farmacia,,930200791,SINDICAL CUEC SALADILLO,BUENOS AIRES,,,SALADILLO,"AVENIDA SAN MARTIN 2960, SALADILLO, BUENOS AIRES, Argentina",AVENIDA SAN MARTIN 2960,7260,,AZUL,30,,,
Farmacia,,930000831,SINDICAL LUZ Y FUERZ,BUENOS AIRES,,,AZUL,"25 DE MAYO 675, AZUL, BUENOS AIRES, Argentina",25 DE MAYO 675,7300,,AZUL,30,,,
Farmacia,,930200818,SINDICAL SEC DAIREAUX,BUENOS AIRES,,,DAIREAUX,"CHACABUCO 510, DAIREAUX, BUENOS AIRES, Argentina",CHACABUCO 510,6555,,AZUL,30,,,
Farmacia,,930000491,SIRIS,BUENOS AIRES,,,TAPALQUE,"9 DE JULIO Y BELGR, TAPALQUE, BUENOS AIRES, Argentina",9 DE JULIO Y BELGR,7303,,AZUL,30,,,
Farmacia,,930000905,SOLE,BUENOS AIRES,,,GENERAL ALVEA,"SARMIENTO 801, GENERAL ALVEA, BUENOS AIRES, Argentina",SARMIENTO 801,7263,,AZUL,30,,,
Farmacia,,930000548,SONCINI,BUENOS AIRES,,,AZUL,"HIPOLITO YRIGOYEN 650, AZUL, BUENOS AIRES, Argentina",HIPOLITO YRIGOYEN 650,7300,,AZUL,30,,,
Farmacia,,930200031,SORALUCE,BUENOS AIRES,,,LAS FLORES,"AVENIDA SARMIENTO 549, LAS FLORES, BUENOS AIRES, Argentina",AVENIDA SARMIENTO 549,7200,,AZUL,30,,,
Farmacia,,930200821,STRIEBECK,BUENOS AIRES,,,OLAVARRIA,"AVENIDA DEL VALLE 3901, OLAVARRIA, BUENOS AIRES, Argentina",AVENIDA DEL VALLE 3901,7400,,AZUL,30,,,
Farmacia,,930010097,SUDIRO,BUENOS AIRES,,,BOLIVAR,"BROWN 300, BOLIVAR, BUENOS AIRES, Argentina",BROWN 300,6550,,AZUL,30,,,
Farmacia,,930000378,TAVERNA,BUENOS AIRES,,,AZUL,"MITRE 807, AZUL, BUENOS AIRES, Argentina",MITRE 807,7300,,AZUL,30,,,
Farmacia,,930010690,TORRES,BUENOS AIRES,,,DAIREAUX,"25 DE MAYO 197, DAIREAUX, BUENOS AIRES, Argentina",25 DE MAYO 197,6555,,AZUL,30,,,
Farmacia,,930200451,TOSTLONG,BUENOS AIRES,,,GENERAL LAMAD,"MITRE 787, GENERAL LAMAD, BUENOS AIRES, Argentina",MITRE 787,7406,,AZUL,30,,,
Farmacia,,930010131,TRAVERSO,BUENOS AIRES,,,DAIREAUX,"ROCA 491, DAIREAUX, BUENOS AIRES, Argentina",ROCA 491,6555,,AZUL,30,,,
Farmacia,,930200246,URBINA,BUENOS AIRES,,,HENDERSON,"FLORIDA 484, HENDERSON, BUENOS AIRES, Argentina",FLORIDA 484,6465,,AZUL,30,,,
Farmacia,,930000503,URRUTIA,BUENOS AIRES,,,AZUL,"COLON 942, AZUL, BUENOS AIRES, Argentina",COLON 942,7300,,AZUL,30,,,
Farmacia,,930010144,VICENTE,BUENOS AIRES,,,DAIREAUX,"PELLEGRINI 341, DAIREAUX, BUENOS AIRES, Argentina",PELLEGRINI 341,6555,,AZUL,30,,,
Farmacia,,930000456,VINCIGUERRA,BUENOS AIRES,,,AZUL,"ALVEAR Y ENTRE RIO, AZUL, BUENOS AIRES, Argentina",ALVEAR Y ENTRE RIO,7300,,AZUL,30,,,
Farmacia,,930200870,VOLZONE,BUENOS AIRES,,,RAUCH,"CORONEL SUAREZ 53, RAUCH, BUENOS AIRES, Argentina",CORONEL SUAREZ 53,7203,,AZUL,30,,,
Farmacia,,905200599,12 DE OCTUBRE,BUENOS AIRES,,,B BLANCA,"12 DE OCTUBRE 642, B BLANCA, BUENOS AIRES, Argentina",12 DE OCTUBRE 642,8000,,BAHIA BLANCA,5,,,
Farmacia,,905201040,ADRIAN GARNERO,BUENOS AIRES,,,C PATAGONE,"ESPAQA 20, C PATAGONE, BUENOS AIRES, Argentina",ESPAQA 20,8504,,BAHIA BLANCA,5,,,
Farmacia,,905202530,ALIANZA MARIA PASTEUR FCA,BUENOS AIRES,,,B BLANCA,"ALSINA 110, B BLANCA, BUENOS AIRES, Argentina",ALSINA 110,8000,,BAHIA BLANCA,5,,,
Farmacia,,905201843,ALMADA,BUENOS AIRES,,,BAHIA BLAN,"THOMPSON 198, BAHIA BLAN, BUENOS AIRES, Argentina",THOMPSON 198,8000,,BAHIA BLANCA,5,,,
Farmacia,,905003283,ALSINA SCS,BUENOS AIRES,,,BAHIA BLAN,"ALSINA 702, BAHIA BLAN, BUENOS AIRES, Argentina",ALSINA 702,8000,,BAHIA BLANCA,5,,,
Farmacia,,905200414,ALTO PATAGONIA S.C.S,BUENOS AIRES,,,B BLANCA,"SARMIENTO 4114, B BLANCA, BUENOS AIRES, Argentina",SARMIENTO 4114,8000,,BAHIA BLANCA,5,,,
Farmacia,,905201346,ALVAREZ CORREA,BUENOS AIRES,,,MEDANOS,"BUSTAMANTE 390, MEDANOS, BUENOS AIRES, Argentina",BUSTAMANTE 390,8132,,BAHIA BLANCA,5,,,
