id_prest_boca_atencion;d_prest_boca_atencion;id_prest_prestador;d_prest_calle;n_prest_puerta;c_prest_piso_depto;c_prest_cp4;n_prest_boca_x;n_prest_boca_y;c_geog_prest_boca_loc;d_geog_prest_boca_loc;c_geog_prest_boca_dpto;d_geog_prest_boca_dpto;c_geog_prest_boca_pcia;d_geog_prest_boca_pcia;m_prest_habilitado
12;UGL RIO NEGRO;5.003.838;BARTOLOME MITRE;75;;8.332;-67,0000000000;-39,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
13;CONSULTORIO;5.003.839;SAN JUAN;975;;3.401;0,0000000000;0,0000000000;50.040.071;SECCION 1 CAPITAL;5.004;DEPTO. CAPITAL;5;CORRIENTES;S
14;SANATORIO SARMIENTO;5.003.850;AV. SARMIENTO;391;;3.500;-58,9832024898;-27,4481076327;60.200.071;RESISTENCIA;6.020;DEPTO. SAN FERNANDO;6;CHACO;S
15;CONSULTORIO;5.003.851;20 DE JUNIO;0;;3.503;0,0000000000;0,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
16;RESISTENCIA;5.003.852;AVDA 9 DE JULIO;210;;3.500;-58,9847271633;-27,4529113265;60.200.071;RESISTENCIA;6.020;DEPTO. SAN FERNANDO;6;CHACO;S
17;SANATORIO AVENIDA;5.000.759;SARMIENTO;293;;3.700;-60,4500000000;-26,7833330000;60.040.016;PRESIDENCIA R. SAENZ PEÑA;6.004;DEPTO. COMANDANTE FERNANDEZ;6;CHACO;S
18;CLINICA AVENIDA;5.003.853;SARMIENTO;293;;3.700;-60,4500000000;-26,7833330000;60.040.016;PRESIDENCIA R. SAENZ PEÑA;6.004;DEPTO. COMANDANTE FERNANDEZ;6;CHACO;S
19;SANATORIO CHACO;5.003.854;BROWN;315;;3.500;-58,9819537143;-27,4520372857;60.200.071;RESISTENCIA;6.020;DEPTO. SAN FERNANDO;6;CHACO;S
20;CONSULTORIO;5.003.855;AYACUCHO;398;;3.500;-58,0000000000;-27,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
21;SANTA SYLVINA;5.003.856;HIPOLITO YRIGOYEN;248;;3.541;-61,1666670000;-27,8166670000;60.070.023;SANTA SILVINA;6.007;DEPTO. F.J.S.M. DE ORO;6;CHACO;S
22;CLINICA INTEGRAL;5.003.857;SAN MARTIN;646;;3.531;-60,2166670000;-26,8833330000;60.190.048;QUITILIPI;6.019;DEPTO. QUITILIPI;6;CHACO;S
23;CONSULTORIO;5.003.858;24 DE JULIO;15;A;4.444;-64,0000000000;-25,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
24;CONSULTORIO;5.003.859;WARNES Y CORNEJO;A;;4.560;-63,0000000000;-22,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
25;GARCIA LODI  LAURA - MEDICO DE CABECERA;5.003.860;VIAMONTE;1190;;2.001;-60,6431535714;-32,9650077551;210.120.220;ROSARIO;21.012;DEPTO. ROSARIO;21;SANTA FE;S
26;ABUD FELIPE MIGUEL;5.003.861;GUTEMBERG;1474;;2.000;0,0000000000;0,0000000000;210.120.220;ROSARIO;21.012;DEPTO. ROSARIO;21;SANTA FE;S
27;PILLA VANESA ILEANA;5.003.863;ESPAÑA;3684;;2.003;-60,6476388333;-32,9768155000;210.120.220;ROSARIO;21.012;DEPTO. ROSARIO;21;SANTA FE;S
28;BELTRAMO JULIIA HILDA - MEDICO DE CABECERA;5.003.864;LAPRIDA;1288;;2.000;-60,6356468776;-32,9533127143;210.120.220;ROSARIO;21.012;DEPTO. ROSARIO;21;SANTA FE;S
29;CONSULTORIO;5.003.866;SAN MARTIN;261;;2.600;-61,9614963061;-33,7496274490;210.060.441;VENADO TUERTO;21.006;DEPTO. GENERAL LOPEZ;21;SANTA FE;S
30;CONSULTORIO;5.003.869;BERNARDO DE IRIGOYEN;2751;;1.878;-58,2560896939;-34,7379169388;20.890.017;QUILMES;2.089;PTDO. QUILMES;2;BUENOS AIRES;S
31;CONSULTORIO;5.003.870;JOSE MANUEL ESTRADA;70 ;;1.888;-58,0000000000;-34,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
32;LIZAUR JAVIER EDGARDO;5.003.871;TABORDA;3410;;1.828;0,0000000000;0,0000000000;20.580.090;REMEDIOS DE ESCALADA;2.058;PTDO. LANUS;2;BUENOS AIRES;S
33;CONSULTORIO;5.003.872;CALLE 15;4770;;1.884;-58,0000000000;-34,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
34;SANCHEZ DANIEL RAFAEL;5.003.873;SEGUI;468;;1.836;0,0000000000;0,0000000000;20.660.084;LLAVALLOL;2.066;PTDO. LOMAS DE ZAMORA;2;BUENOS AIRES;S
35;GARCIA MARIA LUISA;5.003.874;SALTA;1319;;1.846;-58,3771940000;-34,7917400000;20.030.066;JOSE MARMOL;2.003;PTDO. ALMIRANTE BROWN;2;BUENOS AIRES;S
36;CONSULTORIO;5.003.875;CALLE 13;4741;;1.884;-58,0000000000;-34,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
37;MIERES DENIS LUISA ANGELA ;5.003.876;2 DE MAYO;2930;;1.824;0,0000000000;0,0000000000;20.580.014;LANUS;2.058;PTDO. LANUS;2;BUENOS AIRES;S
38;PARAPUGNA OMAR HUMBERTO;5.003.877;HUMAHUACA;3167;;1.824;0,0000000000;0,0000000000;20.580.014;LANUS;2.058;PTDO. LANUS;2;BUENOS AIRES;S
39;CONSULTORIO;5.003.878;MIGUEL CANE;2505;;1.754;-58,5804451837;-34,6638688980;20.720.254;VILLA LUZURIAGA;2.072;PTDO. MATANZA;2;BUENOS AIRES;S
40;CENTRO DE REHABILITACIÓN;5.003.884;GRAL PEDRO DIAZ;3366;;1.688;-58,0000000000;-34,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
41;CASANOVA MIGUEL;5.003.885;PERU;1198;;1.722;-58,7256051429;-34,6736886939;20.740.010;MERLO;2.074;PTDO. MERLO;2;BUENOS AIRES;S
42;CUSIMANO SANDRA;5.003.886;AV. RIVADAVIA;16456;3º A;1.706;-58,5953472449;-34,6469191020;20.770.086;HAEDO;2.077;PTDO. MORON;2;BUENOS AIRES;S
43;KRANEWITTER CECILIA ;5.003.887;PEDRO DE MENDOZA;1101;;1.686;-58,6250470000;-34,5896060000;21.350.019;HURLINGHAM;2.135;PTDO. HURLINGHAM;2;BUENOS AIRES;S
44;MINOLITI ANDREA;5.003.888;NEUQUEN;526;;1.718;0,0000000000;0,0000000000;20.740.133;SAN ANTONIO DE PADUA;2.074;PTDO. MERLO;2;BUENOS AIRES;S
45;MOLINILLO ADRIANA;5.003.889;NEUQUEN;526;;1.718;-58,7043587551;-34,6633361837;20.740.133;SAN ANTONIO DE PADUA;2.074;PTDO. MERLO;2;BUENOS AIRES;S
46;CACERES RUBEN ANTONIO - MEDICO CABECERA;5.003.890;RIVADAVIA;282;;6.313;-64,2666670000;-36,2166670000;110.050.080;WINIFREDA;11.005;DEPTO. CONHELLO;11;LA PAMPA;S
47;CONSULTORIO;5.003.892;V ZAZPE;3463;;3.001;-60,0000000000;-31,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
48;OFTALMOLOGIA;5.003.891;LUCIO V MANSILLA;288;;6.300;-64,2936613061;-36,6206545306;110.030.044;SANTA ROSA;11.003;DEPTO. CAPITAL;11;LA PAMPA;S
49;CONSULTORIO;5.003.893;RIVADAVIA;443;;6.300;-64,2933938571;-36,6251508571;110.030.044;SANTA ROSA;11.003;DEPTO. CAPITAL;11;LA PAMPA;N
50;CONSULTORIO;5.003.894;MALVINAS ARGENTINAS;225;;6.000;-60,0000000000;-34,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
51;DOMICILIO CONSULTORIO;5.003.895;SAN MARTIN;465;;2.930;-59,6612372041;-33,6780362041;21.040.016;SAN PEDRO;2.104;PTDO. SAN PEDRO;2;BUENOS AIRES;S
52;CIDENEU S.R.L.;5.003.896;LA RIOJA;55;;8.300;-68,0631137347;-38,9546351020;150.050.076;NEUQUEN;15.005;DEPTO. CONFLUENCIA;15;NEUQUEN;S
53;CONSULTORIO;5.003.898;SAN MARTIN;172;;6.740;-60,4695825000;-34,6388026667;20.270.011;CHACABUCO;2.027;PTDO. CHACABUCO;2;BUENOS AIRES;S
54;CONSULTORIO;5.003.899;AVDA ALSINA  ;214;;6.740;-60,4674105000;-34,6449745000;20.270.011;CHACABUCO;2.027;PTDO. CHACABUCO;2;BUENOS AIRES;S
55;CONSULTORIO;5.003.900;ISABEL LA CATÓLICA;832;;1.268;-58,3730956939;-34,6399210000;10.010.019;CAPITAL FEDERAL;1.001;CAPITAL FEDERAL;1;CAPITAL FEDERAL;S
56;CONSULTORIO;5.003.901;AVDA ALMAFUERTE;893;;1.437;-58,0000000000;-34,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
57;CONSULTORIO;5.003.902;AVDA RICARDO BALBIN;3272;5 C;1.430;-58,0000000000;-34,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
58;PASTINI MIRIAM EDITH ;5.003.905;CALLE 63;763;;1.900;-57,9411990000;-34,9271286667;20.590.011;LA PLATA;2.059;PTDO. LA PLATA;2;BUENOS AIRES;S
59;CONSULTORIO;5.003.907;CALLE 63;763;;1.900;-57,9411990000;-34,9271286667;20.590.011;LA PLATA;2.059;PTDO. LA PLATA;2;BUENOS AIRES;S
60;MAFFESSOLI ORLANDO BENJAMIN ;5.003.909;63;763;;1.900;-57,9411990000;-34,9271286667;20.590.011;LA PLATA;2.059;PTDO. LA PLATA;2;BUENOS AIRES;S
61;CONSULTORIO;5.003.910;MORENO;150;;3.600;-58,0000000000;-26,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
62;CONSULTORIO;5.003.911;RIVADAVIA;610;;3.315;-55,0000000000;-27,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
63;CONSULTORIO;5.003.913;25 DE MAYO;335;;6.070;-61,5500000000;-34,8666670000;20.630.018;LINCOLN;2.063;PTDO. LINCOLN;2;BUENOS AIRES;S
64;CONSULTORIO;5.003.914;ALICIA MOREAU DE JUSTO;28;;6.640;-60,5000000000;-35,1166670000;20.130.011;BRAGADO;2.013;PTDO. BRAGADO;2;BUENOS AIRES;S
65;CONSULTORIO;5.003.915;REMEDIOS DE ESCALADA;1171;;6.640;-60,5000000000;-35,1166670000;20.130.011;BRAGADO;2.013;PTDO. BRAGADO;2;BUENOS AIRES;S
66;CONSULTORIO;5.003.916;CONESA;228;;6.640;-60,5000000000;-35,1166670000;20.130.011;BRAGADO;2.013;PTDO. BRAGADO;2;BUENOS AIRES;S
67;DOMICILIO COMERCIAL;5.003.921;MARCOS PAZ;317;;4.001;-65,1995520204;-26,8220018367;240.020.063;S.MIGUEL D.TUCUMAN;24.002;DEPTO. CAPITAL;24;TUCUMAN;S
68;UDEC SA;5.003.933;CALLE 13;884;;1.896;-58,0000000000;-34,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
69;AGUERO DORA MARIA;5.003.935;PADRE LUIS VARVELLO;265;;1.742;-58,7602041429;-34,6556401633;20.760.098;PASO DEL REY;2.076;PTDO. MORENO;2;BUENOS AIRES;S
71;UGL JUJY;5.003.949;LAVALLE;376;1;4.600;0,0000000000;0,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
72;BELLESI VALERIA CELINA;5.003.951;CERRITO;5267;;2.002;-60,6957586667;-32,9533416667;210.120.220;ROSARIO;21.012;DEPTO. ROSARIO;21;SANTA FE;N
73;CONSULTORIO;5.003.952;LUCIO V MANSILLA;288;;6.300;-64,2936613061;-36,6206545306;110.030.044;SANTA ROSA;11.003;DEPTO. CAPITAL;11;LA PAMPA;S
74;BECHARA VANINA YAEL - MEDICO CABECERA;5.003.953;ZEBALLOS;680;;6.300;0,0000000000;0,0000000000;110.100.016;ALPACHIRI;11.010;DEPTO. GUATRACHE;11;LA PAMPA;S
75;PIERUZZINI SILVINA - MEDICO CABECERA;5.003.954;1 DE MAYO;640;;6.300;-64,2967141020;-36,6179033469;110.030.044;SANTA ROSA;11.003;DEPTO. CAPITAL;11;LA PAMPA;S
76;CONSULTORIO;5.003.955;INDEPENDENCIA;482;;8.208;-63,4333330000;-38,0833330000;110.110.063;JACINTO ARAUZ;11.011;DEPTO. HUCAL;11;LA PAMPA;S
77;DUBE LUCRECIA - CONSULTORIO;5.003.956;ROCA;40;;8.168;-61,0000000000;-38,0000000000;21.110.101;SIERRA DE LA VENTANA;2.111;PTDO. TORNQUIST;2;BUENOS AIRES;S
78;SANDER ROSANA  CARINA - CONSULTORIO;5.003.957;AVDA. LURO;757;;6.300;-64,2869013077;-36,6294325385;110.030.044;SANTA ROSA;11.003;DEPTO. CAPITAL;11;LA PAMPA;S
79;CONSULTORIO;5.003.958;VILLANUEVA Y ESPORA;S/N;;8.109;-61,0000000000;-39,0000000000;20.230.083;PEHUEN CO;2.023;PTDO. C.DE M. ROSALES;2;BUENOS AIRES;S
80;CONSULTORIO;5.003.960;CALLE 113;595;;6.605;0,0000000000;0,0000000000;20.780.015;NAVARRO;2.078;PTDO. NAVARRO;2;BUENOS AIRES;S
81;CONSULTORIO;5.003.959;AVELLANEDA;2148;;1.727;-58,0000000000;-34,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
82;CONSULTORIO;5.003.961;SALVADOR SCRIBANO ;S/N;;3.615;-58,0000000000;-25,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
83;BRUSCA MARIA ISABEL CONSULTORIO;5.003.962;CALDERON DE LA BARCA;694;;1.407;-58,4990597959;-34,6315406531;10.010.019;CAPITAL FEDERAL;1.001;CAPITAL FEDERAL;1;CAPITAL FEDERAL;S
84;CONSULTORIO;5.003.963;TUCUMAN;1650;PB B;1.050;-58,0000000000;-34,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
85;ODONTOLOGIA I Y III NIVEL;5.003.964;AVDA RAUL SCALABRINI ORTIZ;2356;;1.425;-58,4182991429;-34,5863060000;10.010.019;CAPITAL FEDERAL;1.001;CAPITAL FEDERAL;1;CAPITAL FEDERAL;S
86;CHIRICO MARIA ROSARIO;5.003.965;MONSEÑOR MARCON;2215;;1.754;0,0000000000;0,0000000000;20.720.297;SAN JUSTO;2.072;PTDO. MATANZA;2;BUENOS AIRES;S
87;CONSULTORIO;5.003.966;FLORIDA;858;;2.700;-60,0000000000;-33,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
88;CONSULTORIO;5.003.967;DON BOSCO;935;;3.460;-58,0000000000;-29,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
89;CONSULTORIO;5.003.968;CAVALLARI;645;;6.500;-60,0000000000;-35,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
90;ACEBAL WALTER FABIAN -ODONTOLOGO;5.003.970;AVDA. LURO;575;;6.300;-64,2869440000;-36,6269320000;110.030.044;SANTA ROSA;11.003;DEPTO. CAPITAL;11;LA PAMPA;S
91;CONSULTORIO;5.003.971;GRAL ARTIGAS;336;;8.206;-63,6166670000;-37,9833330000;110.110.047;GENERAL SAN MARTIN;11.011;DEPTO. HUCAL;11;LA PAMPA;S
92;CONSULTORIO;5.003.486;SAN LORENZO;221;;3.300;0,0000000000;0,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
93;CONSULTORIO;5.003.972;GOB. BARREIRO;1280;;3.360;-55,0000000000;-27,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
94;CONSULTORIO;5.003.285;SAN JUAN;1554;;3.301;-55,0000000000;-27,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
95;CURAR S.R.L;5.003.973;ARBO Y BLANCO;257;;3.500;-58,0000000000;-27,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
96;CHARADAI - HOSPITAL RURAL;5.003.974;PTA URBANA;S/N;;3.513;0,0000000000;0,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
97;DAURIA MARIA DEL CARMEN;3.675.899;MOLDES;6068;;1.765;-58,5821733469;-34,7112222449;20.720.084;ISIDRO CASANOVA;2.072;PTDO. MATANZA;2;BUENOS AIRES;S
98;CONSULTORIO;5.003.975;REYNALDA RODRIGUEZ;3654;;1.778;0,0000000000;0,0000000000;20.720.050;CIUDAD GRAL. M. M. DE GUEMES;2.072;PTDO. MATANZA;2;BUENOS AIRES;S
99;QUIROZ PEREZ VICTOR FABIAN - MEDICO CABECERA - HPR;5.003.985;20 DE FEBRERO;598;;8.400;-71,0000000000;-41,0000000000;160.030.174;SAN CARLOS DE BARILOCHE;16.003;DEPTO. BARILOCHE;16;RIO NEGRO;S
100;RODRIGUEZ KARINA - MEDICO CABECERA - SANATORIO DEL SOL;5.003.986;20 DE FEBRERO;640;;8.400;-71,0000000000;-41,0000000000;160.030.174;SAN CARLOS DE BARILOCHE;16.003;DEPTO. BARILOCHE;16;RIO NEGRO;S
101;CONSULTORIO;5.003.987;CAYUPAN;380;;8.536;-66,0000000000;-40,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
102;CONSULTORIO;5.003.989;BALCARCE;1717;0;3.000;-60,6940103878;-31,6386820408;210.090.270;SANTA FE;21.009;DEPTO. LA CAPITAL;21;SANTA FE;S
103;MUTUAL;5.003.990;AVELLANEDA;321;;5.570;-68,0000000000;-33,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
104;CLINICA PRIVADA PROVINCIAL;5.003.994;AVDA LIBERTADOR;246;;1.722;-58,7240038163;-34,6722381224;20.740.010;MERLO;2.074;PTDO. MERLO;2;BUENOS AIRES;S
105;CONSULTORIO;5.003.995;SAN MARTIN;360;;2.705;0,0000000000;0,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
106;CONSULTORIO;5.003.996;JOSE MANUEL ESTRADA;264;;2.700;-60,5750771837;-33,8906430816;20.850.011;PERGAMINO;2.085;PTDO. PERGAMINO;2;BUENOS AIRES;S
107;CONSULTORIO;5.003.997;BELGRANO;258;;6.474;0,0000000000;0,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
108;MARTINELLI MARCELA ADRIANA ;5.004.000;PTA URBANA ;S/N;;3.543;-60,0000000000;-27,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
109;COMPLEJO SANITARIO;5.004.009;HEROES DE MALVINAS;150;;5.700;0,0000000000;0,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
110;HOSPITAL;5.004.009;MAIPU;456;;5.730;-65,0000000000;-33,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
111;CONSULTORIO;5.004.010;ESPAÑA;560;;5.777;0,0000000000;0,0000000000;190.030.167;CONLARA;19.003;DEPTO. CHACABUCO;19;SAN LUIS;S
112;CONSULTORIO;5.004.010;AVDA DEL CIPRES;120;;5.881;-65,0333330000;-32,3500000000;190.060.115;MERLO;19.006;DEPTO. JUNIN;19;SAN LUIS;S
113;FERNANDEZ TAURANT RODRIGO HERNAN;5.004.011;9 DE JULIO;1221;;5.700;-66,3416731724;-33,3021692759;190.070.197;SAN LUIS;19.007;DEPTO. LA CAPITAL;19;SAN LUIS;S
114;CONSULTORIO;5.004.012;ITUZAINGO;235;;5.700;-66,0000000000;-33,0000000000;190.070.197;SAN LUIS;19.007;DEPTO. LA CAPITAL;19;SAN LUIS;N
115;CONSULTORIO;5.004.015;SAN MARTIN;136;;3.328;-55,0000000000;-27,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
116;CONSULTORIO;5.004.018;MORENO;717;;1.878;-58,2563406667;-34,7248863333;20.890.017;QUILMES;2.089;PTDO. QUILMES;2;BUENOS AIRES;S
117;D`ONOFRIO ALICIA NATALIA;5.004.019;MANUEL CASTRO;430;;1.832;-58,4016021429;-34,7622097143;20.660.017;LOMAS DE ZAMORA;2.066;PTDO. LOMAS DE ZAMORA;2;BUENOS AIRES;S
118;CONSULTORIO;5.004.020;CALLE 182;1450;;1.842;0,0000000000;0,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
119;CASENAVE ANDREA ELIZABETH;5.004.021;JUSTO GERMAN BERMUDEZ;1566;;1.832;-58,4183973673;-34,7756971429;20.660.017;LOMAS DE ZAMORA;2.066;PTDO. LOMAS DE ZAMORA;2;BUENOS AIRES;S
120;VEGA MARTA ALICIA;5.004.022;AVDA PTE BARTOLOME MITRE;1473;PB G;1.870;0,0000000000;0,0000000000;20.040.011;AVELLANEDA;2.004;PTDO. AVELLANEDA;2;BUENOS AIRES;S
121;GOMEZ MARIA ISABEL;5.004.023;AVDA MITRE;4205;;1.874;-58,3358429592;-34,6902829592;20.040.011;AVELLANEDA;2.004;PTDO. AVELLANEDA;2;BUENOS AIRES;S
122;CONSULTORIO;5.004.024;SAN MARTIN;456;;1.878;-58,0000000000;-34,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
123;POSE VALLARINO MARIANA;5.004.025;AVDA GRAL JOSE DE SAN MARTIN;1479;;1.824;-58,3761325510;-34,7112725918;20.580.014;LANUS;2.058;PTDO. LANUS;2;BUENOS AIRES;S
124;NAVARRO MARIA FLORENCIA;5.004.026;COLON;3427;;1.824;0,0000000000;0,0000000000;20.580.014;LANUS;2.058;PTDO. LANUS;2;BUENOS AIRES;S
125;CONSULTORIO;5.004.027;CAMINO GRAL. BELGRANO;977;;1.878;0,0000000000;0,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
126;CONSULTORIO;5.004.028;ALBERDI;346;;1.878;-58,0000000000;-34,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
127;GONZALEZ JUAN MANUEL;5.004.029;BERNARDINO RIVADAVIA;3245;;1.847;-58,3566988367;-34,7948278367;20.030.015;ALMIRANTE BROWN;2.003;PTDO. ALMIRANTE BROWN;2;BUENOS AIRES;S
128;CONSULTORIO;5.004.030;CALLE 11;1110;;1.884;-58,2480009184;-34,7782504898;21.230.011;BERAZATEGUI;2.123;PTDO. BERAZATEGUI;2;BUENOS AIRES;S
129;CHANDIA CLAUDIA;5.004.031;PORTELA;2150;;1.832;-58,4248501429;-34,7538602857;20.660.017;LOMAS DE ZAMORA;2.066;PTDO. LOMAS DE ZAMORA;2;BUENOS AIRES;S
130;CONSULTORIO;5.004.032;ROSALES;74;;1.704;-58,0000000000;-34,0000000000;20.720.149;RAMOS MEJIA;2.072;PTDO. MATANZA;2;BUENOS AIRES;S
131;ALBARRACIN JORGE ADRIAN;5.004.033;ECHEVERRIA;5771;;1.757;-58,5883124286;-34,7463277143;20.720.092;GREGORIO DE LAFERRERE;2.072;PTDO. MATANZA;2;BUENOS AIRES;S
132;CASARES MARIA FLAVIA;5.004.034;DE LA SERNA;6232;;1.875;-58,3307721429;-34,7186541429;20.040.011;AVELLANEDA;2.004;PTDO. AVELLANEDA;2;BUENOS AIRES;S
133;DELAVALLE MARIA ALEJANDRA;5.004.035;GRANADA;6015;;1.765;-58,5996549394;-34,6962465758;20.720.084;ISIDRO CASANOVA;2.072;PTDO. MATANZA;2;BUENOS AIRES;S
134;CONSULTORIO;5.004.036;AVDA SANTA FE;3373;12  D;1.425;-58,0000000000;-34,0000000000;10.010.019;CAPITAL FEDERAL;1.001;CAPITAL FEDERAL;1;CAPITAL FEDERAL;S
135;CONSULTORIO;5.004.037;BARAJA;740;;8.504;-62,0000000000;-40,0000000000;-1;DESCONOCIDA;-1;DESCONOCIDO;-1;DESCONOCIDA;S
136;CONSULTORIO;5.004.038;29 DE MAYO;168;;8.512;-62,0000000000;-39,0000000000;20.820.101;VILLALONGA;2.082;PTDO. PATAGONES;2;BUENOS AIRES;S
137;CONSULTORIO;5.004.039;SAN LUIS;2740;PB;1.186;-58,0000000000;-34,0000000000;10.010.019;CAPITAL FEDERAL;1.001;CAPITAL FEDERAL;1;CAPITAL FEDERAL;S
138;SAN BERNARDO;5.004.040;M. LUTERO;448;;3.701;-60,7166670000;-27,2833330000;60.030.036;SAN BERNARDO;6.003;DEPTO. O'HIGGINS;6;CHACO;S
139;VILLA ANGELA;5.004.041;SAN MARTIN;638;;3.540;-60,7166670000;-27,5833330000;60.150.042;VILLA ANGELA;6.015;DEPTO. M. L. J. FONTANA;6;CHACO;S
